z/h (z-axis),Avg_u/Umax (x-axis)
0.05,-0.043044658
0.066666667,0.005518658
0.083333333,0.051201159
0.1,0.094920802
0.116666667,0.178656891
0.133333333,0.278644279
0.15,0.332321955
0.166666667,0.422727392
0.2,0.589585086
0.233333333,0.733824618
0.266666667,0.798235513
0.3,0.827119198
0.333333333,0.851786154
0.366666667,0.86941437
0.433333333,0.89360339
0.5,0.914766458
0.566666667,0.935609373
0.633333333,0.99794855
0.7,0.973885707
0.766666667,0.989904114
0.816666667,1
0.01,-0.135328513
0.016666667,-0.093784364
0.023333333,-0.110275345
0.03,-0.09965683
0.04,-0.051149762
0.05,-0.014027829
0.066666667,0.024732889
0.083333333,0.070575737
0.1,0.182999386
0.116666667,0.190719093
0.133333333,0.284469841
0.15,0.363440338
0.166666667,0.413640745
0.2,0.578635743
0.233333333,0.690073635
0.266666667,0.7752192
0.3,0.831509793
0.333333333,0.845503479
0.366666667,0.863106414
0.433333333,0.892317418
0.5,0.924370107
0.566666667,0.941994702
0.633333333,0.947443333
0.7,0.97984472
0.766666667,0.991605615
0.816666667,1
0.01,0.001016787
0.016666667,0.016622462
0.023333333,-0.001626883
0.03,0.04206549
0.04,0.088594988
0.05,0.090149872
0.066666667,0.132331467
0.083333333,0.182368483
0.1,0.240621643
0.116666667,0.321786266
0.133333333,0.363003329
0.15,0.413436527
0.166666667,0.444888015
0.2,0.589431808
0.233333333,0.657821667
0.266666667,0.70774108
0.3,0.769706468
0.333333333,0.786378396
0.366666667,0.827647951
0.433333333,0.858255158
0.5,0.895585557
0.566666667,0.924629448
0.633333333,0.951127546
0.7,0.972117674
0.766666667,0.992491863
0.816666667,1
0.01,0.11479321
0.016666667,0.083601969
0.023333333,0.125168074
0.03,0.150459847
0.04,0.161864836
0.05,0.168961714
0.066666667,0.209449957
0.083333333,0.271408044
0.1,0.309633209
0.116666667,0.381623773
0.133333333,0.394659166
0.15,0.424848171
0.166666667,0.499206612
0.2,0.57740152
0.233333333,0.641775844
0.266666667,0.698984075
0.3,0.752882486
0.333333333,0.790806494
0.366666667,0.809926151
0.433333333,0.852658272
0.5,0.891437848
0.566666667,0.919723403
0.633333333,0.952204964
0.7,0.972851745
0.766666667,0.989423461
0.816666667,1
0.01,0.228015051
0.016666667,0.240862075
0.023333333,0.244457503
0.03,0.269223053
0.04,0.267251517
0.05,0.261869267
0.066666667,0.290320939
0.083333333,0.339535638
0.1,0.353964477
0.116666667,0.414157315
0.133333333,0.435703201
0.15,0.447250994
0.166666667,0.490418542
0.2,0.555662546
0.233333333,0.606141348
0.266666667,0.68854588
0.3,0.72533252
0.333333333,0.754521503
0.366666667,0.784429592
0.433333333,0.841269448
0.5,0.888531219
0.566666667,0.913962794
0.633333333,0.941277025
0.7,0.972190416
0.766666667,0.987445756
0.816666667,1
0.01,0.315432856
0.016666667,0.310592779
0.023333333,0.341090156
0.03,0.324265908
0.04,0.349702528
0.05,0.361824626
0.066666667,0.364259823
0.083333333,0.398591456
0.1,0.409157948
0.116666667,0.427706233
0.133333333,0.463468781
0.15,0.478299457
0.166666667,0.501901188
0.2,0.566942434
0.233333333,0.62745738
0.266666667,0.648179694
0.3,0.685366922
0.333333333,0.750981585
0.366666667,0.777200999
0.433333333,0.83702688
0.5,0.881566119
0.566666667,0.904969001
0.633333333,0.927350172
0.7,0.961817016
0.766666667,0.991699858
0.816666667,1
0.01,-0.139602768
0.016666667,-0.136242188
0.023333333,-0.113880861
0.03,-0.171378855
0.04,-0.172538258
0.05,-0.143642742
0.066666667,-0.130123531
0.083333333,-0.158602159
0.1,-0.128105146
0.116666667,-0.102139939
0.133333333,-0.006382416
0.15,-0.073650134
0.166666667,-0.060540581
0.2,0.06304782
0.233333333,0.165438843
0.266666667,0.305121758
0.3,0.490952208
0.333333333,0.636553687
0.366666667,0.810751558
0.433333333,0.892981662
0.5,0.929887849
0.566666667,0.954033798
0.633333333,0.970559039
0.7,0.991317665
0.766666667,0.994036106
0.816666667,1
0.01,-0.237698975
0.016666667,-0.260406541
0.023333333,-0.236397104
0.03,-0.216284268
0.04,-0.210381065
0.05,-0.216981312
0.066666667,-0.141898039
0.083333333,-0.139642993
0.1,-0.122421107
0.116666667,-0.073269554
0.133333333,-0.03318626
0.15,0.016433836
0.166666667,0.099985973
0.2,0.121845837
0.233333333,0.245813935
0.266666667,0.347034069
0.3,0.469034477
0.333333333,0.635538149
0.366666667,0.741791547
0.433333333,0.885353593
0.5,0.922127244
0.566666667,0.953254649
0.633333333,0.968572405
0.7,0.986304298
0.766666667,0.994681413
0.816666667,1
0.01,-0.239778183
0.016666667,-0.221355955
0.023333333,-0.217457692
0.03,-0.207422669
