z/z1,Horizontal Distance ( Multiple of D),Run,Avg_udefect
3.277768,6,1,-0.31741
3.78204,6,1,-0.3078
4.286312,6,1,-0.26453
4.790584,6,1,-0.27333
5.294856,6,1,-0.26481
5.799128,6,1,-0.26272
6.177332,6,1,-0.25662
0.084433,6,2,0.926259
0.140722,6,2,0.904688
0.197011,6,2,1.000002
0.2533,6,2,0.925306
0.337733,6,2,0.863117
0.422167,6,2,0.879655
0.562889,6,2,0.815607
0.703611,6,2,0.760614
0.844333,6,2,0.674762
0.985055,6,2,0.505824
1.125777,6,2,0.450981
1.2665,6,2,0.392283
1.407222,6,2,0.366092
1.688666,6,2,0.090922
1.970111,6,2,-0.02764
2.251555,6,2,-0.07717
2.532999,6,2,-0.16428
2.814444,6,2,-0.12506
3.095888,6,2,-0.2121
3.658777,6,2,-0.18825
4.221666,6,2,-0.19812
4.784554,6,2,-0.19341
5.347443,6,2,-0.1983
5.910332,6,2,-0.15987
6.473221,6,2,-0.15829
6.895387,6,2,-0.15619
0.025295,6,3,0.135731
0.042158,6,3,0.153187
0.059022,6,3,0.163879
0.075885,6,3,0.182408
0.10118,6,3,0.218053
0.126475,6,3,0.255381
0.168634,6,3,0.347615
0.210792,6,3,0.412642
0.252951,6,3,0.487575
0.295109,6,3,0.573278
0.337267,6,3,0.666241
0.379426,6,3,0.75619
0.421584,6,3,0.827986
0.505901,6,3,0.901686
0.590218,6,3,0.9847
0.674535,6,3,1
0.758852,6,3,0.92222
0.843169,6,3,0.827039
0.927485,6,3,0.658264
1.096119,6,3,0.290219
1.264753,6,3,0.150697
1.433386,6,3,0.060845
1.60202,6,3,0.03755
1.770654,6,3,0.01687
1.939288,6,3,0.006694
2.065763,6,3,0.003081
0.042138,6,4,0.975935
0.070231,6,4,0.993712
0.098323,6,4,1
0.126415,6,4,0.997895
0.168554,6,4,0.982864
0.210692,6,4,0.999922
0.280923,6,4,0.944971
0.351153,6,4,0.937638
0.421384,6,4,0.859981
0.491614,6,4,0.81764
0.561845,6,4,0.797831
0.632076,6,4,0.766401
0.702306,6,4,0.75446
0.842768,6,4,0.657948
0.983229,6,4,0.508598
1.12369,6,4,0.436595
1.264151,6,4,0.309983
1.404613,6,4,0.177596
1.545074,6,4,0.023403
1.825997,6,4,-0.21723
2.106919,6,4,-0.36114
2.387842,6,4,-0.40773
2.668764,6,4,-0.4351
2.949687,6,4,-0.44912
3.230609,6,4,-0.51215
3.441301,6,4,-0.51566
0.070024,8,1,1
0.116706,8,1,0.932937
0.163388,8,1,0.98036
0.210071,8,1,0.92595
0.280094,8,1,0.946599
0.350118,8,1,0.960279
0.466824,8,1,0.897878
0.583529,8,1,0.797857
0.700235,8,1,0.782611
0.816941,8,1,0.71809
0.933647,8,1,0.571933
1.050353,8,1,0.445412
1.167059,8,1,0.322909
1.400471,8,1,0.094874
1.633883,8,1,-0.04896
1.867294,8,1,-0.10803
2.100706,8,1,-0.206
2.334118,8,1,-0.23076
2.56753,8,1,-0.26631
3.034353,8,1,-0.31653
3.501177,8,1,-0.32032
3.968,8,1,-0.36016
4.434824,8,1,-0.39796
4.901648,8,1,-0.38301
5.368471,8,1,-0.37061
5.718589,8,1,-0.31584
0.067858,8,2,0.896112
0.113097,8,2,1.000004
0.158335,8,2,0.956218
0.203574,8,2,0.911407
0.271432,8,2,0.930175
0.33929,8,2,0.936349
0.452386,8,2,0.858456
0.565483,8,2,0.75441
0.67858,8,2,0.700027
0.791676,8,2,0.506787
0.904773,8,2,0.515484
1.017869,8,2,0.497098
1.130966,8,2,0.343044
1.357159,8,2,0.173365
1.583352,8,2,0.03132
1.809545,8,2,-0.05252
2.035739,8,2,-0.14209
2.261932,8,2,-0.14982
2.488125,8,2,-0.20038
2.940511,8,2,-0.20212
3.392898,8,2,-0.21789
3.845284,8,2,-0.20858
4.29767,8,2,-0.23094
4.750057,8,2,-0.17879
5.202443,8,2,-0.16532
5.541733,8,2,-0.17094
0.028773,8,3,0.150751
0.047954,8,3,0.116802
0.067136,8,3,0.184749
0.086318,8,3,0.209073
0.11509,8,3,0.208761
0.143863,8,3,0.398739
0.191817,8,3,0.335306
0.239771,8,3,0.491562
0.287726,8,3,0.659113
0.33568,8,3,0.629507
0.383634,8,3,0.709885
0.431588,8,3,0.753377
0.479543,8,3,0.756957
0.575451,8,3,1.003099
0.67136,8,3,0.948098
0.767268,8,3,1.004634
0.863177,8,3,0.959499
0.959085,8,3,0.6528
1.054994,8,3,0.614395
1.246811,8,3,0.403005
1.438628,8,3,0.143133
1.630445,8,3,0.047315
1.822262,8,3,0.046886
2.014079,8,3,0.020631
2.205896,8,3,0.003955
2.349759,8,3,0.003951
0.041768,8,4,0.943521
0.069614,8,4,0.917187
0.097459,8,4,1
0.125305,8,4,0.924053
0.167073,8,4,0.973375
0.208841,8,4,0.959648
0.278455,8,4,0.898501
0.348068,8,4,0.90398
0.417682,8,4,0.88581
0.487296,8,4,0.845118
0.556909,8,4,0.800566
0.626523,8,4,0.718252
0.696136,8,4,0.714766
0.835364,8,4,0.64476
0.974591,8,4,0.513734
1.113818,8,4,0.43849
1.253046,8,4,0.264924
1.392273,8,4,0.136776
1.5315,8,4,0.045037
1.809955,8,4,-0.16878
2.088409,8,4,-0.32046
2.366864,8,4,-0.39188
2.645318,8,4,-0.47509
2.923773,8,4,-0.47137
3.202228,8,4,-0.46714
3.411069,8,4,-0.479
0.064662,10,1,0.868076
0.107769,10,1,0.842838
0.150877,10,1,0.908969
0.193985,10,1,0.9071
0.258646,10,1,1
0.323308,10,1,0.980064
0.431077,10,1,0.932889
0.538846,10,1,0.865522
0.646615,10,1,0.866862
0.754384,10,1,0.80903
0.862153,10,1,0.660658
0.969923,10,1,0.542156
1.077692,10,1,0.391108
1.29323,10,1,0.194805
1.508769,10,1,0.11286
1.724307,10,1,-0.06745
1.939845,10,1,-0.18805
2.155384,10,1,-0.24044
2.370922,10,1,-0.32562
2.801999,10,1,-0.37592
3.233076,10,1,-0.35988
3.664152,10,1,-0.3126
4.095229,10,1,-0.34253
4.526306,10,1,-0.3384
4.957382,10,1,-0.37446
5.28069,10,1,-0.35468
0.055746,10,2,0.855992
0.092909,10,2,0.827914
0.130073,10,2,0.919732
0.167237,10,2,0.858754
0.222982,10,2,0.940483
0.278728,10,2,1.000001
0.371637,10,2,0.938302
0.464546,10,2,0.843137
0.557455,10,2,0.862514
0.650364,10,2,0.634864
0.743273,10,2,0.614396
0.836183,10,2,0.664744
0.929092,10,2,0.571871
1.11491,10,2,0.383523
1.300728,10,2,0.238003
1.486547,10,2,0.019776
1.672365,10,2,-0.0375
1.858183,10,2,-0.01079
2.044002,10,2,-0.12592
2.415638,10,2,-0.18167
2.787275,10,2,-0.23554
3.158912,10,2,-0.2084
3.530549,10,2,-0.21763
3.902185,10,2,-0.18147
4.273822,10,2,-0.15536
4.552549,10,2,-0.17063
0.02154,10,3,0.046411
0.0359,10,3,0.199689
0.05026,10,3,0.163205
0.06462,10,3,0.17496
0.08616,10,3,0.31383
0.1077,10,3,0.316845
0.1436,10,3,0.342245
0.1795,10,3,0.461661
0.2154,10,3,0.549035
0.2513,10,3,0.771681
0.2872,10,3,0.768854
0.323099,10,3,0.875861
0.358999,10,3,0.788721
0.430799,10,3,0.819325
0.502599,10,3,0.969153
0.574399,10,3,0.931928
0.646199,10,3,1.005685
0.717999,10,3,0.892691
0.789799,10,3,0.766304
0.933398,10,3,0.63595
1.076998,10,3,0.348947
1.220598,10,3,0.16937
1.364198,10,3,0.047444
1.507797,10,3,0.027793
1.651397,10,3,0.001461
1.759097,10,3,0.00126
0.035347,10,4,0.861842
0.058912,10,4,0.86512
0.082476,10,4,0.972213
0.106041,10,4,0.957931
0.141388,10,4,0.958583
0.176735,10,4,0.981256
0.235646,10,4,0.954234
0.294558,10,4,1.000005
0.353469,10,4,0.938693
0.412381,10,4,0.9712
0.471292,10,4,0.948668
0.530204,10,4,0.90301
0.589116,10,4,0.925813
0.706939,10,4,0.870799
0.824762,10,4,0.729843
0.942585,10,4,0.570265
1.060408,10,4,0.426072
1.178231,10,4,0.249854
1.296054,10,4,0.157076
1.5317,10,4,-0.07533
1.767347,10,4,-0.32087
2.002993,10,4,-0.45683
2.238639,10,4,-0.48709
2.474285,10,4,-0.55764
2.709931,10,4,-0.63231
2.886666,10,4,-0.66704
0.052508,12,1,0.69087
0.087514,12,1,0.692344
0.12252,12,1,0.788605
0.157525,12,1,0.771118
0.210034,12,1,0.911831
0.262542,12,1,0.953288
0.350056,12,1,0.916202
0.43757,12,1,0.922707
0.525084,12,1,1
0.612598,12,1,0.926349
0.700112,12,1,0.959515
0.787626,12,1,0.786774
0.87514,12,1,0.682431
1.050168,12,1,0.4267
1.225196,12,1,0.216607
1.400224,12,1,0.016728
1.575252,12,1,-0.18769
1.750281,12,1,-0.26333
1.925309,12,1,-0.37071
2.275365,12,1,-0.44553
2.625421,12,1,-0.4822
2.975477,12,1,-0.40742
3.325533,12,1,-0.42583
3.675589,12,1,-0.37312
4.025645,12,1,-0.36839
4.288187,12,1,-0.31181
0.048599,12,2,0.788064
0.080998,12,2,0.852895
0.113397,12,2,0.830379
0.145796,12,2,0.990176
0.194395,12,2,0.948926
0.242994,12,2,0.933476
0.323992,12,2,0.998366
0.404989,12,2,0.94634
0.485987,12,2,0.999995
0.566985,12,2,0.908622
0.647983,12,2,0.792914
0.728981,12,2,0.850382
0.809979,12,2,0.829759
0.971975,12,2,0.548264
1.133971,12,2,0.269239
1.295966,12,2,0.314499
1.457962,12,2,0.227109
1.619958,12,2,0.049546
1.781954,12,2,-0.10159
2.105945,12,2,-0.20109
2.429937,12,2,-0.26383
2.753928,12,2,-0.20877
3.07792,12,2,-0.19141
3.401912,12,2,-0.15603
3.725903,12,2,-0.20372
3.968897,12,2,-0.20052
0.02088,12,3,0.151594
0.0348,12,3,0.080554
0.04872,12,3,0.05426
0.06264,12,3,0.17739
0.08352,12,3,0.144778
0.104399,12,3,0.300662
0.139199,12,3,0.249833
0.173999,12,3,0.351043
0.208799,12,3,0.489355
0.243599,12,3,0.370197
0.278398,12,3,0.611443
0.313198,12,3,0.612322
0.347998,12,3,0.593094
0.417598,12,3,0.834857
0.487197,12,3,0.597413
0.556797,12,3,1.004726
0.626396,12,3,0.777495
0.695996,12,3,0.869357
0.765596,12,3,0.955953
0.904795,12,3,0.605692
1.043994,12,3,0.454611
1.183193,12,3,0.195741
1.322392,12,3,0.077513
1.461591,12,3,0.062005
1.600791,12,3,0.020069
1.70519,12,3,0.007052
0.033534,12,4,0.489776
0.05589,12,4,0.60585
0.078246,12,4,0.601926
0.100602,12,4,0.758446
0.134137,12,4,0.773749
0.167671,12,4,0.892404
0.223561,12,4,0.830614
0.279451,12,4,0.866847
0.335342,12,4,0.788804
0.391232,12,4,0.875146
0.447122,12,4,0.892847
0.503012,12,4,0.843886
0.558903,12,4,0.866933
0.670683,12,4,0.826331
0.782464,12,4,0.758467
0.894244,12,4,0.665633
1.006025,12,4,0.433932
1.117806,12,4,0.388076
1.229586,12,4,0.299428
1.453147,12,4,0.128264
1.676708,12,4,-0.20423
1.900269,12,4,-0.30015
2.12383,12,4,-0.46911
2.347392,12,4,-0.57587
2.570953,12,4,-0.62363
2.738624,12,4,-0.61347
