subdistrict,pincode,Population Density(people per square kilometer),Forecasted Future Population Growth rate(Exponential Decay),Nearest Airport Distance in km,Nearest Railway Station Distance in km,Overall Rating(Ratings*Reviews),Num_ATMS,Num_hospitals,Num_restaurants,Num_supermarket,Num_schools,Num_shopping_malls,Num_night_clubs,Num_cafe,Num_train_stations,Num_taxi_stands,Num of Competitor stores
kharghar,410210,4121.056911,3.66,16.65,2.7,70678.5,2,8,3,0,7,6,1,0,3,6,3
Kalamboli Node,410218,7045.555556,5.22,19.55,1.19,177340.8,10,17,6,16,8,16,2,5,2,2,1
Panvel,410206,677.2188211,9.8,25.15,0.87,18412.8,1,0,0,0,0,0,0,0,0,0,2
Manpada,421204,2467.234043,13.48,17.91,0.71,3495.9,1,1,5,0,1,1,0,0,1,0,2
Katemanivali,421306,18107.19512,14.72,24.41,1.94,12117.4,0,1,3,0,4,1,0,1,0,0,2
Bassein,401202,9997.772277,21.78,24.73,4.01,22185.1,1,9,15,4,17,11,2,5,1,2,1
Shastrinagar,421302,730.1171459,9.5,31.17,10.09,18522,1,1,0,0,7,2,0,0,0,0,0
Badlapur E.D.,421503,16889.36747,12.93,31.62,0.47,11789.4,0,1,2,0,6,0,0,0,0,0,2
Ramnagar,421201,9829.254658,12.42,19.9,0.64,24888.4,15,-1,17,27,35,23,4,21,4,2,0
Sopara,401203,6976.347032,11.51,29.09,1.86,7513.8,9,6,11,3,12,6,0,9,0,0,0
Ambernath,421501,2362.192982,13.37,24.16,5.63,3074.5,14,14,16,9,-1,13,2,7,1,1,2
Kalyan City,421301,11399.71888,12.56,25.68,1.52,35326.2,10,13,11,12,12,12,1,3,1,8,1
Shilphata,410203,790.704698,3.3,45.08,6.14,18388,0,0,0,0,1,0,0,0,0,0,4
Chinchwad East,411019,13087.22222,0.63,11.64,1.29,37137.8,5,30,6,18,10,4,1,8,0,5,1
Dapodi Bazar,411012,10122.88994,0.97,7.44,0.29,16060.8,9,13,3,12,8,4,2,12,1,1,0
NIBM,411048,18059.53668,8.91,10.71,4.18,19811.4,6,16,17,-1,14,8,1,22,0,2,1
T.V. Nagar,411037,39824.57143,16.36,9.83,4.34,22381.9,10,21,9,18,11,18,0,18,0,2,1
Guruwar Peth,411042,53710.43627,14.42,8.11,2.31,5535.6,8,37,4,31,14,15,4,24,0,0,0
Gondhale Nagar,411028,37001.911,1.2,6.52,1.69,23409.2,15,6,10,4,7,4,12,8,1,1,2
Pune,411001,21499.63768,10.88,5.74,0.8,8815,17,-1,11,7,11,9,10,27,6,1,1
Aundh T.S.,411007,7911.639344,3.45,8.4,1.7,28027.6,2,3,2,1,10,1,1,0,0,2,4
Chinchwadgaon,411033,3695.061224,1.34,14.5,2.2,23482.8,5,1,11,5,3,4,1,6,0,0,4
A.R. Shala,411004,32491.65563,-358.42,8.87,1.75,56112,13,30,6,11,19,6,7,29,0,2,2
Kothrud,411038,11309.09091,-0.03,11.23,4.12,29908.2,1,7,20,14,7,0,4,1,0,4,1
Warje,411058,4042.758621,-0.99,13.75,6.62,24343.2,4,10,8,11,2,9,1,10,0,5,0
Loni Kalbhor,412201,588.5080645,4.61,14.61,1.01,11155.2,0,1,6,0,2,0,0,1,0,0,1
Vagholi,412207,397.9849812,12,18.71,6.79,16890.4,0,0,5,1,2,1,0,0,0,0,2
Vadgaon Sheri,411014,25374.15584,0.37,2.18,2.67,12531.2,12,23,31,-1,23,31,6,29,0,4,3
Pimpri Colony,411017,12266.07595,0.54,10.63,1.14,19696.4,7,30,12,33,15,15,0,11,0,4,0
Infotech Park,411057,2137.459584,0.89,16.13,5.95,32920.2,8,2,10,1,4,1,3,9,0,1,2
