z* (z-axis),rms_w-rms_emin/rms_wmax_rms_wmin (x-axis)
0.14828678,0.803510348
0.185358476,0.806813957
0.247144634,0.816213081
0.308930793,0.85847817
0.370716951,0.89042565
0.43250311,1
0.494289268,0.911154953
0.556075427,0.969185756
0.617861585,0.879305943
0.741433902,0.761317318
0.865006219,0.617900471
0.988578537,0.508833212
1.112150854,0.413263983
1.235723171,0.29268413
1.359295488,0.244255201
1.606440122,0.185366516
1.853584756,0.135345397
2.10072939,0.105005583
2.347874024,0.055740622
2.595018658,0.026277653
2.842163293,0.012052363
3.027521768,0
0.036270381,0.721130818
0.060450635,0.781182967
0.084630889,0.796554019
0.108811143,0.839883619
0.145081524,0.878514467
0.181351905,0.943539809
0.241802539,1
0.302253174,0.922501507
0.362703809,0.926456769
0.423154444,0.857010616
0.483605079,0.995369195
0.544055714,0.941311351
0.604506349,0.887241367
0.725407618,0.730122567
0.846308888,0.614797558
0.967210158,0.545798257
1.088111428,0.376932929
1.209012697,0.322810939
1.329913967,0.278314709
1.571716506,0.207745784
1.813519046,0.158042314
2.055321585,0.109814912
2.297124125,0.082292864
2.538926664,0.058826675
2.780729204,0.019678062
2.962081108,0
0.034462226,0.758835272
0.057437043,0.841518791
0.08041186,0.8662141
0.103386677,0.902763968
0.137848903,0.977922148
0.172311129,0.992744636
0.229748171,0.987907589
0.287185214,0.972922267
0.344622257,0.991771232
0.4020593,0.950157594
0.459496343,1
0.516933386,0.958882234
0.574370428,0.89395634
0.689244514,0.741890363
0.8041186,0.676843893
0.918992685,0.622484252
1.033866771,0.448792944
1.148740857,0.323379988
1.263614942,0.318096318
1.493363114,0.237042788
1.723111285,0.179656939
1.952859456,0.127211343
2.182607628,0.07618407
2.412355799,0.043257539
2.642103971,0.019324545
2.814415099,0
0.032741309,0.668205579
0.054568849,0.728284774
0.076396388,0.799710303
0.098223927,0.811734559
0.130965237,0.904213826
0.163706546,0.954600452
0.218275394,0.938293765
0.272844243,1
0.327413091,0.949767007
0.38198194,0.994889462
0.436550789,0.981748407
0.491119637,0.929580653
0.545688486,0.88584072
0.654826183,0.904819719
0.76396388,0.729200299
0.873101577,0.585497862
0.982239274,0.513548759
1.091376972,0.430293131
1.200514669,0.365823308
1.418790063,0.275426251
1.637065457,0.215467394
1.855340852,0.143740543
2.073616246,0.096754264
2.29189164,0.050959202
2.510167035,0.036062376
2.67387358,0
0.030981431,0.646054277
0.051635718,0.663416113
0.072290005,0.721167891
0.092944293,0.797913311
0.123925724,0.839025499
0.154907155,0.890231029
0.206542873,0.920837555
0.258178591,0.972854331
0.309814309,0.964699432
0.361450027,0.976501104
0.413085746,1
0.464721464,0.998253144
0.516357182,0.914687261
0.619628618,0.894376461
0.722900055,0.80864065
0.826171491,0.699492597
0.929442928,0.61353452
1.032714364,0.466889638
1.1359858,0.430506689
1.342528673,0.291581149
1.549071546,0.210260914
1.755614419,0.162382171
1.962157291,0.090128606
2.168700164,0.074221242
2.375243037,0.016369745
2.530150192,0
0.024724892,0.203890711
0.041208153,0.245635999
0.057691414,0.271741083
0.074174676,0.249632147
0.098899567,0.316342471
0.123624459,0.337716861
0.164832612,0.366481362
0.206040765,0.400890777
0.247248918,0.485434645
0.288457072,0.485379526
0.329665225,0.477205337
0.370873378,0.590786442
0.412081531,0.59495281
0.494497837,0.736384463
0.576914143,0.872945337
0.659330449,1
0.741746755,0.94802529
0.824163061,0.824969869
0.906579368,0.602268422
1.07141198,0.421824652
1.236244592,0.254309103
1.401077204,0.154994237
1.565909817,0.096109164
1.730742429,0.073405969
1.895575041,0.022889692
2.019199501,0
0.023624105,0.368095671
0.039373508,0.380005601
0.055122911,0.417763494
0.070872314,0.430459521
0.094496418,0.464987495
