z* (z-axis),rms_u-rms_umin/rms_umax_rms_umin (x-axis)
0.0402715,0.575708997
0.0563801,0.567271655
0.0724887,0.559580334
0.0966516,0.55104052
0.1208145,0.634910361
0.161086,0.689091691
0.2013575,0.758548413
0.241629,0.783402916
0.2819005,0.790765125
0.322172,0.85441801
0.3624435,0.895419455
0.402715,0.858809412
0.4832581,0.921744054
0.5638011,1
0.6443441,0.93789077
0.7248871,0.926993118
0.8054301,0.820643477
0.8859731,0.659307577
1.0470591,0.434253478
1.2081451,0.265183698
1.3692311,0.120921145
1.5303172,0.065842395
1.6914032,0.037278359
1.8524892,0.016268511
1.9733037,0
0.0223145,0.603000727
0.0371908,0.618696487
0.0520672,0.609317063
0.0669435,0.600976904
0.089258,0.569410132
0.1115725,0.666160535
0.1487633,0.692642895
0.1859541,0.667224376
0.2231449,0.688876194
0.2603358,0.728967114
0.2975266,0.80158472
0.3347174,0.872984669
0.3719082,0.918499439
0.4462899,0.94469834
0.5206715,0.959770954
0.5950531,1
0.6694348,0.950645359
0.7438164,0.890916998
0.8181981,0.855559083
0.9669614,0.540654534
1.1157247,0.35759909
1.2644879,0.167385179
1.4132512,0.121563605
1.5620145,0.054887854
1.7107778,0.018749908
1.8223503,0
0.0216692,0.588258937
0.0361154,0.649418927
0.0505615,0.641482146
0.0650077,0.63871766
0.0866769,0.611428294
0.1083461,0.674030221
0.1444615,0.679739218
0.1805769,0.696147868
0.2166923,0.866015327
0.2528077,0.772214636
0.2889231,0.84510469
0.3250384,0.804400839
0.3611538,0.834465943
0.4333846,0.971113986
0.5056153,0.953888792
0.5778461,1
0.6500769,0.946096553
0.7223076,0.852855937
0.7945384,0.800389825
0.9389999,0.606113412
1.0834614,0.354813671
1.227923,0.181599342
1.3723845,0.091898695
1.516846,0.058960528
1.6613075,0.025380042
1.7696537,0
0.0190131,0.595429422
0.0316885,0.718090804
0.044364,0.692830942
0.0570394,0.681219418
0.0760525,0.791361086
0.0950656,0.768519393
0.1267542,0.677197953
0.1584427,0.742176707
0.1901313,0.830848437
0.2218198,0.910799018
0.2535084,0.911336742
0.2851969,0.894881209
0.3168855,0.951781752
0.3802626,0.985433668
0.4436397,0.934743787
0.5070168,1
0.5703939,0.983330396
0.633771,0.990045049
0.6971481,0.945963884
0.8239023,0.822239293
0.9506565,0.612702575
1.0774107,0.323190997
1.2041649,0.238673982
1.3309191,0.152285014
1.4576732,0.047279476
1.5527389,0
0.0191351,0.615649982
0.0318918,0.66946296
0.0446485,0.625998872
0.0574052,0.774989307
0.0765403,0.657819399
0.0956754,0.767994521
