z*,x/D,Run,u*,z*,RMS_u*,z*,RMS_w*,z*,RSS_uw*,z*,k*
0.056268425,6,1,-0.041225588,0.03617129,0.740777828,0.036764146,0.708967576,0.046914195,0.389026776,0.04109139,0.650111143
0.093780709,6,1,-0.040356854,0.060285484,0.662357954,0.061273576,0.678526885,0.078190324,0.318605873,0.068485651,0.610572485
0.131292992,6,1,-0.021695755,0.084399678,0.760405065,0.085783007,0.811929825,0.109466454,0.434415905,0.095879911,0.71771047
0.168805276,6,1,-0.008784678,0.108513871,0.81282147,0.110292437,0.74731974,0.140742584,0.451118885,0.123274171,0.749975086
0.225073701,6,1,0,0.144685161,0.853387321,0.147056583,0.825608525,0.187656778,0.633775304,0.164365561,0.813400712
0.281342127,6,1,0.066827252,0.180856452,0.850192328,0.183820729,0.866207074,0.234570973,0.542966257,0.205456952,0.837253084
0.375122836,6,1,0.099435065,0.241141936,0.905490914,0.245094305,0.934444336,0.312761297,0.707047408,0.273942602,0.905117078
0.468903544,6,1,0.144154161,0.30142742,1,0.306367881,0.990190162,0.390951622,1,0.342428253,0.982559094
0.562684253,6,1,0.196890218,0.361712904,0.953156273,0.367641457,0.974433399,0.469141946,0.756639758,0.410913904,0.963768991
0.656464962,6,1,0.263186661,0.421998388,0.988895586,0.428915033,1,0.54733227,0.990105383,0.479399554,1
0.750245671,6,1,0.330709977,0.482283872,0.998067399,0.490188609,0.927310267,0.625522594,0.864410932,0.547885205,0.965959842
0.84402638,6,1,0.390559516,0.542569356,0.994402889,0.551462186,0.92169024,0.703712919,0.913395317,0.616370855,0.927624516
0.937807089,6,1,0.468790377,0.602854839,0.919221919,0.612735762,0.879816189,0.781903243,0.724787309,0.684856506,0.854494967
1.125368507,6,1,0.562912376,0.723425807,0.864192981,0.735282914,0.796457768,0.938283892,0.587520149,0.821827807,0.777590825
1.312929925,6,1,0.646493866,0.843996775,0.709515612,0.857830066,0.679589686,1.09466454,0.365755393,0.958799108,0.559625631
1.500491342,6,1,0.710986938,0.964567743,0.542320347,0.980377219,0.517749053,1.251045189,0.230205586,1.09577041,0.361401759
1.68805276,6,1,0.778410107,1.085138711,0.398310181,1.102924371,0.406903608,1.407425837,0.140139522,1.232741711,0.232680786
1.875614178,6,1,0.81496342,1.205709679,0.314004026,1.225471524,0.339593874,1.563806486,0.100776349,1.369713012,0.165049684
2.063175596,6,1,0.847783206,1.326280647,0.258135028,1.348018676,0.276683413,1.720187135,0.051053133,1.506684313,0.119748305
2.438298431,6,1,0.872887086,1.567422583,0.233704122,1.593112981,0.22772089,2.032948432,0.066398045,1.780626916,0.095037248
2.813421267,6,1,0.918518997,1.808564518,0.170758445,1.838207285,0.158713323,2.345709729,0.039360182,2.054569518,0.060726741
3.188544102,6,1,0.938133447,2.049706454,0.126842742,2.08330159,0.118383236,2.658471026,0.027509467,2.328512121,0.04068967
3.563666938,6,1,0.99056887,2.29084839,0.094433917,2.328395895,0.083993548,2.971232323,0.008133812,2.602454723,0.038445541
3.938789774,6,1,0.980528242,2.531990326,0.043204833,2.573490199,0.034564992,3.283993621,0.00689375,2.876397325,0.015370197
4.313912609,6,1,0.992382302,2.773132262,0.012998834,2.818584504,0.012699446,3.596754918,0,3.150339928,0.004855218
4.595254736,6,1,1,2.953988714,0,3.002405233,0,3.831325891,0.004000626,3.35579688,0
0.048472224,8,1,0,0.033815056,0.751940964,0.034565331,0.706499089,0.046522442,0.339229671,0.040741841,0.747185151
0.080787039,8,1,0.025061835,0.056358427,0.811255816,0.057608885,0.794270704,0.077537403,0.44888995,0.067903068,0.791714246
0.113101855,8,1,0.034416365,0.078901797,0.797145823,0.08065244,0.839864303,0.108552364,0.477652205,0.095064296,0.794584845
0.145416671,8,1,0.017766894,0.101445168,0.7859178,0.103695994,0.773478556,0.139567325,0.362086633,0.122225523,0.769596825
0.193888895,8,1,0.076106509,0.135260224,0.805087975,0.138261325,0.857753092,0.186089767,0.595263464,0.162967364,0.780055029
0.242361118,8,1,0.085366484,0.16907528,0.885196717,0.172826656,0.886547536,0.232612208,0.593189961,0.203709205,0.878851294
0.323148158,8,1,0.125811751,0.225433707,0.932455882,0.230435542,0.94836571,0.310149611,0.854098675,0.271612274,1
0.403935197,8,1,0.175907047,0.281792133,0.930619829,0.288044427,0.933213271,0.387687014,0.772960779,0.339515342,0.963679044
0.484722237,8,1,0.218022969,0.33815056,0.992593585,0.345653313,1,0.465224416,1,0.407418411,0.980170017
0.565509276,8,1,0.257510184,0.394508987,0.96821057,0.403262198,0.960448254,0.542761819,0.890959887,0.475321479,0.962960849
0.646296315,8,1,0.315273433,0.450867414,1,0.460871084,0.935477588,0.620299222,0.943222492,0.543224548,0.940793736
0.727083355,8,1,0.34299566,0.50722584,0.962166311,0.518479969,0.943293311,0.697836625,0.920325362,0.611127616,0.916761329
0.807870394,8,1,0.42179398,0.563584267,0.917185594,0.576088855,0.838853145,0.775374027,0.6845698,0.679030685,0.875473787
0.969444473,8,1,0.477590018,0.67630112,0.908743267,0.691306626,0.848047311,0.930448833,0.645519126,0.814836822,0.829712429
1.131018552,8,1,0.596091401,0.789017974,0.697142217,0.806524397,0.646432247,1.085523638,0.321062311,0.950642959,0.540218078
