subdistrict,pincode,Population Density(people per square kilometer),Forecasted Future Population Growth rate(Exponential Decay),Potential Additional Future Customers,Nearest Airport Distance in km,Nearest Railway Station Distance in km,Overall Rating(Ratings*Reviews),Num_ATMS,Num_hospitals,Num_restaurants,Num_supermarket,Num_schools,Num_shopping_malls,Num_night_clubs,Num_cafe,Num_train_stations,Num_taxi_stands,Prosperity Score,Num of Competitor stores
Airport,400099,39855,1.94,773,0.75,1.92,578.1,0,0,1,3,1,0,11,1,0,5,22,2
Nehru Nagar,400024,49331,2.31,1139,2.74,0.49,92.4,7,33,16,9,17,15,1,16,6,2,122,1
Orlem,400064,59065,2.04,1204,8.67,0.59,22075.5,14,40,19,16,20,9,22,13,1,3,157,4
Chembur,400071,54507,2.19,1193,3.89,1.42,7442.4,20,16,15,13,13,5,12,15,3,3,115,2
Kandivali East,400101,31565,1.87,590,9.67,1.32,23136.3,14,22,15,15,11,6,8,5,2,0,98,2
Kandivali RS,400067,36243,2.21,800,10.98,2.19,15123.1,15,28,26,20,19,14,6,16,2,2,148,0
Motilal Nagar,400104,46222,1.95,901,7.03,0.82,27178.2,6,34,23,24,28,20,8,16,2,1,162,0
Mazgaon Dock,400010,36925,-36.99,-13658,10.37,0.94,1091.2,8,10,7,9,12,10,8,3,9,0,76,0
Oshiwara,400102,55420,2.09,1158,5.13,0.82,15254.1,22,32,27,16,27,26,39,34,1,1,225,0
Dahisar,400068,34506,10.21,3523,14.54,0.46,47539.8,1,0,0,0,1,0,1,0,0,0,3,0
H.M.P. School,400058,56695,2.51,1423,3.68,0.67,24753.7,4,9,14,7,15,6,11,8,1,0,75,0
Jacob Circle,400011,54209,-39.35,-21331,9.96,0.35,159.6,15,7,30,10,19,9,7,10,12,1,120,0
Transit Camp,400022,47632,1.91,909,3.96,0.52,144.4,24,17,21,10,34,6,7,24,7,2,152,0
Airoli,400708,8142,13.99,1139,12.53,2.71,36801.6,18,33,14,9,19,7,3,26,1,2,132,1
Jekegram,400606,53277,11.62,6190,13.17,2.52,10784.4,11,20,27,15,24,2,4,8,0,4,115,4
Naupada,400602,72311,16.09,11634,12.49,0.68,56658,37,13,22,9,20,17,5,13,1,2,139,0
Thane,400601,54242,16.06,8711,13.76,1.52,36378.7,12,38,26,18,23,11,9,15,1,4,157,2
Sandozbaugh,400607,30484,5.74,1749,16.72,4.38,19804.1,2,14,7,3,5,1,0,4,0,4,40,2
NERUL NODE-III,400706,4924,14.18,698,13.53,6.95,22261.9,5,20,12,38,19,7,2,2,2,8,115,3
Navi Mumbai,400703,8983,13.68,1228,12.08,5.99,2786.4,17,27,34,15,34,19,21,14,2,13,196,1
Sanpada,400705,4887,13.35,652,12.56,5.9,45154.7,3,13,4,7,5,1,5,6,3,11,58,1
mira,401107,7600,10.37,788,17.1,3.95,54189.7,2,4,17,1,7,4,5,7,0,0,47,1
Kopar Khairne,400709,5919,15.06,891,10.71,5.79,20000.4,19,27,29,15,30,20,4,30,1,9,184,1
Ghansoli,400701,3574,10.19,364,12.01,5.49,32011.7,1,2,4,1,2,0,0,5,1,1,17,1
Bhayander West,401101,8157,14.68,1197,17.8,2.06,16846.2,1,1,3,7,2,5,1,2,1,0,23,0
Poynad,401208,2195,10.96,240,39.21,5.79,28669.2,1,2,7,0,3,0,0,1,0,0,14,0
kharghar,410210,4121,3.66,150,16.65,2.7,70678.5,2,8,3,0,7,6,1,0,3,6,36,3
Kalamboli Node,410218,7046,5.22,367,19.55,1.19,177340.8,10,17,6,16,8,16,2,5,2,2,84,1
Panvel,410206,677,9.8,66,25.15,0.87,18412.8,1,0,0,0,0,0,0,0,0,0,1,2
Manpada,421204,2467,13.48,332,17.91,0.71,3495.9,1,1,5,0,1,1,0,0,1,0,10,2
Katemanivali,421306,18107,14.72,2665,24.41,1.94,12117.4,0,1,3,0,4,1,0,1,0,0,10,2
Bassein,401202,9998,21.78,2177,24.73,4.01,22185.1,1,9,15,4,17,11,2,5,1,2,67,1
Shastrinagar,421302,730,9.5,69,31.17,10.09,18522,1,1,0,0,7,2,0,0,0,0,11,0
Badlapur E.D.,421503,16889,12.93,2183,31.62,0.47,11789.4,0,1,2,0,6,0,0,0,0,0,9,2
Ramnagar,421201,9829,12.42,1220,19.9,0.64,24888.4,15,26,17,27,35,23,4,21,4,2,174,0
Sopara,401203,6976,11.51,802,29.09,1.86,7513.8,9,6,11,3,12,6,0,9,0,0,56,0
Ambernath,421501,2362,13.37,315,24.16,5.63,3074.5,14,14,16,9,10,13,2,7,1,1,87,2
Kalyan City,421301,11400,12.56,1431,25.68,1.52,35326.2,10,13,11,12,12,12,1,3,1,8,83,1
Shilphata,410203,791,3.3,26,45.08,6.14,18388,0,0,0,0,1,0,0,0,0,0,1,4
Chinchwad East,411019,13087,0.63,82,11.64,1.29,37137.8,5,30,6,18,10,4,1,8,0,5,87,1
Dapodi Bazar,411012,10123,0.97,98,7.44,0.29,16060.8,9,13,3,12,8,4,2,12,1,1,65,0
NIBM,411048,18060,8.91,1609,10.71,4.18,19811.4,6,16,17,15,14,8,1,22,0,2,101,1
T.V. Nagar,411037,39825,16.36,6515,9.83,4.34,22381.9,10,21,9,18,11,18,0,18,0,2,107,1
Guruwar Peth,411042,53710,14.42,7744,8.11,2.31,5535.6,8,37,4,31,14,15,4,24,0,0,137,0
Gondhale Nagar,411028,37002,1.2,444,6.52,1.69,23409.2,15,6,10,4,7,4,12,8,1,1,68,2
Pune,411001,21500,10.88,2339,5.74,0.8,8815,17,19,11,7,11,9,10,27,6,1,118,1
Aundh T.S.,411007,7912,3.45,272,8.4,1.7,28027.6,2,3,2,1,10,1,1,0,0,2,22,4
Chinchwadgaon,411033,3695,1.34,49,14.5,2.2,23482.8,5,1,11,5,3,4,1,6,0,0,36,4
A.R. Shala,411004,32492,-358.42,-116457,8.87,1.75,56112,13,30,6,11,19,6,7,29,0,2,123,2
Kothrud,411038,11309,-0.03,-3,11.23,4.12,29908.2,1,7,20,14,7,0,4,1,0,4,58,1
Warje,411058,4043,-0.99,-40,13.75,6.62,24343.2,4,10,8,11,2,9,1,10,0,5,60,0
Loni Kalbhor,412201,589,4.61,27,14.61,1.01,11155.2,0,1,6,0,2,0,0,1,0,0,10,1
Vagholi,412207,398,12,47,18.71,6.79,16890.4,0,0,5,1,2,1,0,0,0,0,9,2
Vadgaon Sheri,411014,25374,0.37,93,2.18,2.67,12531.2,12,23,31,18,23,31,6,29,0,4,177,3
Pimpri Colony,411017,12266,0.54,66,10.63,1.14,19696.4,7,30,12,33,15,15,0,11,0,4,127,0
Infotech Park,411057,2137,0.89,19,16.13,5.95,32920.2,8,2,10,1,4,1,3,9,0,1,39,2
