z/h,x/D,Run,Avg_u/Umax,rms_u/k^0.5,rms_w/k^0.5,rss/rssmax,k/kmax
0.816666667,3,1,1,0.751667879,0.422129245,0.007300879,0.031339448
0.01,4,1,-0.156030032,2.014316965,1.067526357,0.286765443,0.606964691
0.016666667,4,1,-0.163867671,2.134032467,1.072892553,0.309308767,0.667914038
0.023333333,4,1,-0.153048646,2.057754457,1.192460954,0.323110852,0.702227088
0.03,4,1,-0.093282465,2.239174211,1.304049314,0.417953792,0.768907187
0.04,4,1,-0.070596732,2.365464142,1.306194236,0.553373641,0.830740034
0.05,4,1,-0.062463531,2.312525977,1.33113537,0.544698962,0.877275029
0.066666667,4,1,0.03171842,2.354988393,1.433103378,0.647966497,0.893852215
0.083333333,4,1,0.056929823,2.660965801,1.549814616,0.826092876,0.965815173
0.1,4,1,0.146124487,2.7328579,1.601401003,0.799168423,0.989944266
0.116666667,4,1,0.195726353,2.718959461,1.637684125,1,1
0.133333333,4,1,0.256301854,2.719189143,1.718659193,0.885437874,0.971979308
0.15,4,1,0.360082378,2.677974526,1.737562384,0.898435584,0.971494015
0.166666667,4,1,0.40356905,2.663369235,1.714900328,0.913680678,0.954115907
0.2,4,1,0.553865215,2.732427605,1.557420069,0.740150076,0.89193733
0.233333333,4,1,0.696814938,2.1978048,1.29361642,0.39610943,0.580731331
0.266666667,4,1,0.77965727,1.962363645,1.169915705,0.314987362,0.424242165
0.3,4,1,0.82349614,1.68545876,1.043627493,0.155435258,0.280723992
0.333333333,4,1,0.867077833,1.454983873,0.888032797,0.098934068,0.206942611
0.366666667,4,1,0.882626063,1.302814275,0.786359002,0.0870385,0.15957513
0.433333333,4,1,0.914246931,1.109196037,0.669305295,0.05905384,0.104472421
0.5,4,1,0.935144995,1.077631991,0.624533936,0.04974209,0.078527312
0.566666667,4,1,0.966915376,1.00671545,0.571175218,0.035367156,0.056959895
0.633333333,4,1,0.945641275,1.030764606,0.556923526,0.029110376,0.065784242
0.7,4,1,0.985952649,0.790501997,0.433314653,0.009605909,0.036919107
0.766666667,4,1,0.99505608,0.76823887,0.415757944,0.00919072,0.030776827
0.816666667,4,1,1,0.779214054,0.396527429,0.007767685,0.028751844
0.01,6,1,-0.040596922,2.058532345,1.263305559,0.389869698,0.660595993
0.016666667,6,1,-0.039728712,1.9005915,1.225286894,0.31954595,0.622242159
0.023333333,6,1,-0.02107888,2.06714964,1.389054809,0.435196206,0.726169623
0.03,6,1,-0.008175599,2.181729571,1.300507228,0.451876142,0.75746739
0.04,6,1,0.000603775,2.276750535,1.417680647,0.634280561,0.818992389
0.05,6,1,0.067390679,2.239938185,1.455952349,0.543596798,0.842129995
0.066666667,6,1,0.099978804,2.354245567,1.551383452,0.707451576,0.907960362
0.083333333,6,1,0.144670899,2.633160377,1.682350985,1,0.983081732
0.1,6,1,0.197375116,2.563573927,1.679786442,0.756975507,0.964854698
0.116666667,6,1,0.26363153,2.616339113,1.701139032,0.990119034,1
0.133333333,6,1,0.331114078,2.787509741,1.687081483,0.864597995,0.966979897
0.15,6,1,0.390927481,2.741029261,1.655404758,0.9135148,0.929793336
0.166666667,6,1,0.469111109,2.569765139,1.59034254,0.725167003,0.858855204
0.2,6,1,0.563176278,2.559657376,1.531838996,0.588089222,0.784255589
0.233333333,6,1,0.646707305,2.201863261,1.34970325,0.366630421,0.57282199
0.266666667,6,1,0.711161437,1.861641367,1.124534613,0.231267624,0.38053814
0.3,6,1,0.778543897,1.584776848,0.987955895,0.141325818,0.255674449
0.333333333,6,1,0.815075141,1.440887447,0.917111539,0.102016952,0.190069996
0.366666667,6,1,0.847875111,1.284940252,0.799441524,0.052362336,0.146126129
0.433333333,6,1,0.872963833,1.246505025,0.727115611,0.067686077,0.122155569
0.5,6,1,0.918568194,1.195094147,0.66733291,0.040685517,0.088873219
0.566666667,6,1,0.9381708,1.155375508,0.636239785,0.028851152,0.069436583
0.633333333,6,1,0.990574564,1.175884217,0.627800605,0.009502228,0.067259702
0.7,6,1,0.980539998,0.939778246,0.480692499,0.008263877,0.044875839
0.766666667,6,1,0.992386901,0.841637204,0.432867146,0.001379638,0.034675954
0.816666667,6,1,1,0.829306107,0.419592967,0.005374744,0.029966229
0.01,8,1,0.095204026,1.998450059,1.218149045,0.340587608,0.75656103
0.016666667,8,1,0.117879873,2.12489161,1.344683885,0.450022526,0.799438721
0.023333333,8,1,0.126343814,2.054286447,1.378731226,0.478725673,0.802202862
0.03,8,1,0.11127944,2.037082036,1.292081619,0.363397597,0.778141546
0.04,8,1,0.164064888,2.083261298,1.412083959,0.596095231,0.788211898
0.05,8,1,0.172443276,2.209446096,1.431932593,0.594025989,0.883344209
0.066666667,8,1,0.209037992,2.299478478,1.514257266,0.854398515,1
0.083333333,8,1,0.254364013,2.370125643,1.54223548,0.773427364,0.965026041
0.1,8,1,0.29247033,2.523382428,1.654514081,1,0.980905431
0.116666667,8,1,0.328198204,2.451170204,1.584119612,0.891183973,0.964334481
0.133333333,8,1,0.380462159,2.658755656,1.638531448,0.943339175,0.942989457
0.15,8,1,0.405545118,2.543884834,1.627339647,0.9204891,0.919848314
0.166666667,8,1,0.47684152,2.448303854,1.474966984,0.685218035,0.88009196
0.2,8,1,0.527325551,2.543402893,1.557161946,0.646247613,0.836027705
0.233333333,8,1,0.634545126,2.090024189,1.255523953,0.322457584,0.557269528
0.266666667,8,1,0.679824922,1.924601333,1.22990753,0.383753996,0.450713233
0.3,8,1,0.741752564,1.758962466,1.032517169,0.249646338,0.314565235
