z* (z-axis),tke-tkemin/tkemax_tkemin (x-axis)
0.0498373,0.594139077
0.0640766,0.69122886
0.0854354,0.658416833
0.1067943,0.710536558
0.1423924,0.760467502
0.1779905,0.799607494
0.2135886,0.884159471
0.2491867,0.805151085
0.2847848,0.899923467
0.3203829,0.874085773
0.355981,0.92050518
0.4271772,0.937885074
0.4983735,0.91930266
0.5695697,1
0.6407659,0.947467889
0.7119621,0.883731416
0.7831583,0.917481584
0.9255507,0.588841774
1.0679431,0.418922196
1.2103355,0.235328488
1.3527279,0.190384365
1.4951204,0.067003444
1.6375128,0.023163238
1.7443071,0
0.0203423,0.636512636
0.0339039,0.642131734
0.0474654,0.680164413
0.061027,0.657682584
0.0813693,0.709169022
0.1017116,0.661118888
0.1356155,0.707067576
0.1695193,0.810982064
0.2034232,0.81769935
0.2373271,0.873867656
0.2712309,0.916830157
0.3051348,0.893620561
0.3390387,0.938028394
0.4068464,0.902298679
0.4746542,1
0.5424619,0.963327323
0.6102696,0.970428184
0.6780774,0.986134519
0.7458851,0.856958945
0.8815006,0.720070884
1.0171161,0.468212966
1.1527315,0.26228188
1.288347,0.127649572
1.4239625,0.064850382
1.5595779,0.005470102
1.6612896,0
