z/z2,RMS_udefect,Horizontal Distance ( Multiple of D),Run
2.386103334,-0.065159816,3,2
2.704250445,-0.065290102,3,2
3.022397557,0.019783549,3,2
3.340544668,0.008044067,3,2
3.658691779,-0.031868824,3,2
3.897302112,-0.052952426,3,2
0.046800412,0.734302936,4,2
0.078000686,0.802232539,4,2
0.109200961,0.7164946,4,2
0.140401236,0.725294437,4,2
0.187201647,0.801516711,4,2
0.234002059,0.763333193,4,2
0.312002746,0.753689214,4,2
0.390003432,0.776457422,4,2
0.468004118,0.797214883,4,2
0.546004805,1.000004556,4,2
0.624005491,0.796435307,4,2
0.702006178,0.956276871,4,2
0.780006864,0.897121285,4,2
0.936008237,0.785260296,4,2
1.09200961,0.529665794,4,2
1.248010982,0.294628359,4,2
1.404012355,0.068205813,4,2
1.560013728,0.033962326,4,2
1.716015101,-0.021596987,4,2
2.028017847,-0.073742519,4,2
2.340020592,-0.102860222,4,2
2.652023338,-0.09026328,4,2
2.964026083,-0.075474488,4,2
3.276028829,-0.053879591,4,2
3.588031575,-0.074371868,4,2
3.822033634,-0.063923385,4,2
0.05,0.664259895,6,2
0.083333333,0.729335795,6,2
0.116666667,0.718591184,6,2
0.15,0.793088498,6,2
0.2,0.845501838,6,2
0.25,0.890349206,6,2
0.333333333,0.887650148,6,2
0.416666667,0.925490616,6,2
0.5,0.898922057,6,2
0.583333333,0.843285675,6,2
0.666666667,0.999999369,6,2
0.75,0.868100745,6,2
0.833333333,0.829314389,6,2
1,0.643379074,6,2
1.166666667,0.550300934,6,2
1.333333333,0.374834922,6,2
1.5,0.141925371,6,2
1.666666667,0.116853726,6,2
1.833333333,0.052174063,6,2
2.166666667,-0.089499339,6,2
2.5,-0.069202219,6,2
2.833333333,-0.067219235,6,2
3.166666667,-0.058302897,6,2
3.5,-0.003622351,6,2
3.833333333,-0.048789278,6,2
4.083333333,-0.058322586,6,2
0.056091541,0.676777974,8,2
0.093485902,0.771847692,8,2
0.130880263,0.715251835,8,2
0.168274624,0.807066209,8,2
0.224366166,0.739265969,8,2
0.280457707,0.917734127,8,2
0.373943609,0.980889947,8,2
0.467429512,0.838799545,8,2
0.560915414,0.896150221,8,2
0.654401316,1.000000822,8,2
0.747887219,0.970737741,8,2
0.841373121,0.969495588,8,2
0.934859023,0.866716354,8,2
1.121830828,0.673684624,8,2
1.308802633,0.471800968,8,2
1.495774437,0.350598565,8,2
1.682746242,0.174398122,8,2
1.869718047,0.109387355,8,2
2.056689851,0.059233545,8,2
2.43063346,-0.0848837,8,2
2.80457707,-0.041459703,8,2
3.178520679,-0.038108534,8,2
3.552464288,-0.015940688,8,2
3.926407898,-0.005337861,8,2
4.100351507,-0.019438459,8,2
4.380809214,-0.049234754,8,2
0.040937747,0.588159311,10,2
0.068229579,0.67359607,10,2
0.09552141,0.680174043,10,2
0.122813242,0.717044884,10,2
0.163750989,0.650400996,10,2
0.204688737,0.781985014,10,2
0.272918316,0.834246493,10,2
0.341147894,0.877454538,10,2
0.409377473,0.857268961,10,2
0.477607052,1.000000849,10,2
0.545836631,0.960655639,10,2
0.61406621,0.930885535,10,2
0.682295789,0.838861892,10,2
0.818754947,0.84731817,10,2
0.955214104,0.670046558,10,2
1.091673262,0.484911734,10,2
1.22813242,0.37224916,10,2
1.364591578,0.328633199,10,2
1.501050736,0.248832078,10,2
1.773969051,0.03551019,10,2
2.046887367,0.059853034,10,2
2.319805682,0.04957421,10,2
2.592723998,0.023713916,10,2
2.865642313,0.014814457,10,2
3.138560629,0.003115313,10,2
3.343249365,0.000319097,10,2
0.035595634,0.601464112,12,2
0.059326056,0.623827781,12,2
0.083056478,0.67051842,12,2
0.106786901,0.590856149,12,2
0.142382534,0.636460105,12,2
0.177978168,0.765440401,12,2
0.237304224,0.861423613,12,2
0.29663028,0.672964633,12,2
0.355956336,0.781688647,12,2
0.415282392,0.913723917,12,2
0.474608448,1.000142756,12,2
0.533934504,0.828832459,12,2
0.59326056,0.839450997,12,2
0.711912672,0.842809743,12,2
0.830564784,0.710048061,12,2
0.949216896,0.629918747,12,2
1.067869008,0.472551579,12,2
1.18652112,0.272036629,12,2
1.305173232,0.274294836,12,2
1.542477456,0.010795983,12,2
1.77978168,0.013388441,12,2
2.017085904,0.025347995,12,2
2.254390128,0.012295827,12,2
2.491694352,0.081335856,12,2
2.728998576,-0.007513044,12,2
2.906976744,-0.030036334,12,2
0.028056787,0.290366485,2,3
0.046761312,0.402125558,2,3
0.065465836,0.355474152,2,3
0.084170361,0.277606606,2,3
0.112227148,0.400642341,2,3
0.140283935,0.431624864,2,3
0.187045246,0.379619278,2,3
0.233806558,0.326707985,2,3
0.280567869,0.393925385,2,3
0.327329181,0.417915708,2,3
0.374090492,0.472586842,2,3
0.420851804,0.527104147,2,3
0.467613116,0.581185869,2,3
0.561135739,0.622147914,2,3
0.654658362,0.712507142,2,3
0.748180985,0.850200745,2,3
0.841703608,1.000000005,2,3
0.935226231,0.816405852,2,3
1.028748854,0.533259966,2,3
1.215794101,0.18633517,2,3
1.402839347,0.185779621,2,3
1.589884593,0.098873406,2,3
1.776929839,0.076386016,2,3
1.963975086,0.103066512,2,3
2.151020332,-0.048364628,2,3
2.291304267,-0.048449207,2,3
0.025915016,0.4736478,3,3
0.043191693,0.419125362,3,3
0.060468371,0.456861124,3,3
0.077745048,0.512468173,3,3
0.103660064,0.525497689,3,3
0.12957508,0.544983175,3,3
0.172766773,0.720623453,3,3
0.215958467,0.624060364,3,3
0.25915016,0.733524279,3,3
0.302341854,0.726799124,3,3
0.345533547,0.789747213,3,3
0.38872524,0.842564627,3,3
0.431916934,0.786006004,3,3
0.51830032,0.859015926,3,3
0.604683707,0.924554178,3,3
0.691067094,1.000000004,3,3
0.777450481,0.992553474,3,3
0.863833867,0.788103351,3,3
0.950217254,0.581327941,3,3
1.122984028,0.241606356,3,3
1.295750801,0.19004155,3,3
1.468517575,0.054206666,3,3
1.641284348,0.082180794,3,3
1.814051122,0.02327581,3,3
1.986817895,-0.017147063,3,3
2.116392975,-0.009304703,3,3
0.027434591,0.441389387,4,3
0.045724319,0.503654271,4,3
0.064014047,0.494600325,4,3
0.082303774,0.485098322,4,3
0.109738365,0.499910845,4,3
0.137172957,0.566409533,4,3
0.182897276,0.623873163,4,3
0.228621595,0.698758787,4,3
0.274345914,0.75157624,4,3
0.320070233,0.755179332,4,3
0.365794551,0.834684517,4,3
0.41151887,0.877439219,4,3
0.457243189,0.842709102,4,3
0.548691827,0.923573871,4,3
0.640140465,1.000000001,4,3
0.731589103,0.923134621,4,3
0.823037741,0.911924307,4,3
0.914486379,0.759601578,4,3
1.005935017,0.594971625,4,3
1.188832292,0.331205946,4,3
1.371729568,0.268457236,4,3
1.554626844,0.097556645,4,3
1.73752412,0.069326632,4,3
1.920421395,0.040618708,4,3
2.103318671,0.011708563,4,3
2.240491628,-0.001749182,4,3
0.025295056,0.592227073,6,3
0.042158426,0.588598748,6,3
0.059021797,0.601483122,6,3
0.075885167,0.614324805,6,3
0.101180223,0.671033435,6,3
0.126475278,0.674616898,6,3
0.168633704,0.725185891,6,3
0.21079213,0.760978458,6,3
0.252950557,0.820877057,6,3
0.295108983,0.867108396,6,3
0.337267409,0.891610446,6,3
0.379425835,0.939869237,6,3
0.421584261,0.967846556,6,3
0.505901113,0.997098996,6,3
0.590217965,1.018575854,6,3
0.674534817,1.014019966,6,3
0.75885167,0.992317138,6,3
0.843168522,0.924144454,6,3
0.927485374,0.872478051,6,3
1.096119078,0.509145407,6,3
1.264752783,0.41747393,6,3
1.433386487,0.174823435,6,3
1.602020191,0.154733757,6,3
1.770653896,0.074616937,6,3
1.9392876,0.024286219,6,3
2.065762878,0.006376039,6,3
0.028772562,0.529606885,8,3
0.047954271,0.601861546,8,3
0.067135979,0.593621491,8,3
0.086317687,0.590062899,8,3
0.11509025,0.584452996,8,3
0.143862812,0.622158081,8,3
0.191817083,0.620907882,8,3
0.239771354,0.631337027,8,3
0.287725625,0.856372868,8,3
0.335679896,0.740050492,8,3
0.383634166,0.82948085,8,3
0.431588437,0.774589624,8,3
0.479542708,0.819846677,8,3
0.57545125,0.986928353,8,3
0.671359791,0.948064208,8,3
0.767268333,1.000000003,8,3
0.863176875,0.938321956,8,3
0.959085416,0.801908238,8,3
1.054993958,0.770631889,8,3
1.246811041,0.547767082,8,3
1.438628124,0.399769203,8,3
1.630445207,0.197485947,8,3
1.822262291,0.131748272,8,3
2.014079374,0.098750194,8,3
2.205896457,0.055153644,8,3
2.34975927,0.031614764,8,3
0.021539964,0.559057033,10,3
0.03589994,0.695708891,10,3
0.050259916,0.669006792,10,3
0.064619891,0.655703102,10,3
0.086159855,0.812000263,10,3
0.107699819,0.740796746,10,3
0.143599759,0.628990957,10,3
0.179499698,0.6900554,10,3
0.215399638,0.819690068,10,3
0.251299578,0.901718431,10,3
0.287199518,0.906555381,10,3
0.323099457,0.879606486,10,3
0.358999397,0.955301435,10,3
0.430799276,1.000000001,10,3
0.502599156,0.920142069,10,3
0.574399035,0.989640522,10,3
0.646198914,0.973572226,10,3
0.717998794,0.947814924,10,3
0.789798673,0.937483422,10,3
0.933398432,0.80796998,10,3
1.076998191,0.762552398,10,3
1.220597949,0.442974155,10,3
1.364197708,0.399621609,10,3
1.507797467,0.310859248,10,3
1.651397226,0.188930671,10,3
1.759097045,0.144400581,10,3
0.020879878,0.550434795,12,3
0.034799797,0.616362927,12,3
0.048719715,0.564650375,12,3
0.062639634,0.746680258,12,3
0.083519512,0.638563333,12,3
0.10439939,0.725361085,12,3
0.139199187,0.70512085,12,3
0.173998984,0.729597181,12,3
0.208798781,0.876844597,12,3
0.243598577,0.794511266,12,3
0.278398374,0.863858447,12,3
0.313198171,0.79577841,12,3
0.347997968,0.816968055,12,3
0.417597561,0.962370703,12,3
0.487197155,0.82784319,12,3
0.556796748,1.000000008,12,3
0.626396342,0.91824452,12,3
0.695995935,0.854911379,12,3
0.765595529,0.968644677,12,3
0.904794716,0.706005896,12,3
1.043993903,0.680293149,12,3
1.18319309,0.453805013,12,3
1.322392277,0.288637917,12,3
1.461591464,0.209038281,12,3
1.600790651,0.103566723,12,3
1.705190042,0.057820396,12,3
0.028239547,0.328981834,2,4
0.047065911,0.333851642,2,4
0.065892276,0.302284392,2,4
0.08471864,0.275970981,2,4
0.112958187,0.295493522,2,4
0.141197733,0.297880997,2,4
0.188263644,0.258978842,2,4
0.235329556,0.280742084,2,4
0.282395467,0.359412689,2,4
0.329461378,0.379327302,2,4
0.376527289,0.433367021,2,4
0.4235932,0.465988244,2,4
0.470659111,0.495341971,2,4
0.564790933,0.597742502,2,4
0.658922755,0.69621159,2,4
0.753054578,0.966219953,2,4
0.8471864,0.999999955,2,4
0.941318222,0.877942301,2,4
1.035450044,0.551520139,2,4
1.223713689,0.202602089,2,4
1.411977333,0.116431517,2,4
1.600240977,0.082017313,2,4
1.788504622,0.155937478,2,4
1.976768266,0.140340655,2,4
2.165031911,0.136052682,2,4
2.306229644,0.127991279,2,4
0.027723358,0.430938437,3,4
0.046205596,0.442362439,3,4
0.064687835,0.447221002,3,4
0.083170074,0.419652768,3,4
0.110893431,0.489551758,3,4
0.138616789,0.453934337,3,4
0.184822386,0.463985273,3,4
0.231027982,0.597672544,3,4
0.277233579,0.650475833,3,4
0.323439175,0.699806307,3,4
0.369644771,0.715094621,3,4
0.415850368,0.760175774,3,4
0.462055964,0.77306962,3,4
0.554467157,0.886406916,3,4
0.64687835,0.941756253,3,4
0.739289543,0.999999929,3,4
0.831700736,0.964079882,3,4
0.924111928,0.806787095,3,4
1.016523121,0.67445673,3,4
1.201345507,0.331910821,3,4
1.386167893,0.173813173,3,4
1.570990278,0.039448694,3,4
1.755812664,0.022925862,3,4
1.94063505,0.003426812,3,4
2.125457435,-0.002320299,3,4
2.264074225,-0.010216108,3,4
0.028122539,0.479268446,4,4
0.046870899,0.464547583,4,4
0.065619258,0.486174021,4,4
0.084367618,0.472405146,4,4
0.112490157,0.506814396,4,4
0.140612696,0.491305541,4,4
0.187483595,0.549099998,4,4
0.234354494,0.645723228,4,4
0.281225393,0.62684447,4,4
0.328096292,0.721021515,4,4
0.37496719,0.795202488,4,4
0.421838089,0.762602135,4,4
0.468708988,0.818715054,4,4
0.562450786,0.926970399,4,4
0.656192583,1.000000045,4,4
0.749934381,0.908605939,4,4
0.843676178,0.860747905,4,4
0.937417976,0.775501296,4,4
1.031159774,0.554363078,4,4
1.218643369,0.247862764,4,4
1.406126964,0.099251608,4,4
1.593610559,0.060752376,4,4
1.781094154,0.072276009,4,4
1.968577749,0.032270601,4,4
2.156061345,0.045469154,4,4
2.296674041,0.011481825,4,4
0.026415659,0.353713697,6,4
0.044026099,0.365954596,6,4
0.061636538,0.379338084,6,4
0.079246978,0.374709294,6,4
0.105662637,0.383078033,6,4
0.132078296,0.405281701,6,4
0.176104395,0.436650871,6,4
0.220130493,0.500344486,6,4
0.264156592,0.561867556,6,4
0.308182691,0.619734755,6,4
0.352208789,0.729574143,6,4
0.396234888,0.775338581,6,4
0.440260987,0.869059986,6,4
0.528313184,0.961467821,6,4
0.616365381,1,6,4
0.704417579,0.972911047,6,4
0.792469776,0.930641041,6,4
0.880521973,0.882393462,6,4
0.968574171,0.808517058,6,4
1.144678565,0.494918459,6,4
1.32078296,0.283410908,6,4
1.496887355,0.202737791,6,4
1.67299175,0.203911665,6,4
1.849096144,0.172685162,6,4
2.025200539,0.146018357,6,4
2.157278835,0.112268198,6,4
0.026430321,0.523839421,8,4
0.044050535,0.485764302,8,4
0.061670749,0.456590674,8,4
0.079290963,0.501249999,8,4
0.105721283,0.507653795,8,4
0.132151604,0.627669266,8,4
0.176202139,0.641829604,8,4
0.220252674,0.685698486,8,4
0.264303209,0.724045435,8,4
0.308353743,0.759780667,8,4
0.352404278,0.862195499,8,4
0.396454813,0.925056816,8,4
0.440505348,0.938950186,8,4
0.528606417,0.989375447,8,4
0.616707487,1.000000041,8,4
0.704808556,0.987352067,8,4
0.792909626,0.93921935,8,4
0.881010695,0.876874166,8,4
0.969111765,0.846062553,8,4
1.145313904,0.604639467,8,4
1.321516043,0.408126249,8,4
1.497718182,0.319071315,8,4
1.673920321,0.228848334,8,4
1.85012246,0.169357114,8,4
2.0263246,0.12364977,8,4
2.158476204,0.103404536,8,4
0.023479139,0.57596542,10,4
0.039131898,0.568714006,10,4
0.054784657,0.675970002,10,4
0.070437416,0.60418613,10,4
0.093916555,0.5218218,10,4
0.117395694,0.578425915,10,4
0.156527592,0.567617253,10,4
0.19565949,0.611801349,10,4
0.234791388,0.721370777,10,4
0.273923286,0.7508878,10,4
0.313055184,0.788582735,10,4
0.352187082,0.794565548,10,4
0.39131898,0.856459631,10,4
0.469582776,0.911139195,10,4
0.547846572,0.950587648,10,4
0.626110368,0.990841827,10,4
0.704374164,1.000000078,10,4
0.78263796,0.971326808,10,4
0.860901755,0.966587732,10,4
1.017429347,0.697850665,10,4
1.173956939,0.505309592,10,4
1.330484531,0.38440313,10,4
1.487012123,0.34661556,10,4
1.643539715,0.227715766,10,4
1.800067307,0.196787976,10,4
1.917463001,0.166460064,10,4
0.020674969,0.590832883,12,4
0.034458281,0.551230238,12,4
0.048241594,0.580733558,12,4
0.062024906,0.547311777,12,4
0.082699875,0.59127465,12,4
0.103374844,0.51999524,12,4
0.137833125,0.575290929,12,4
0.172291407,0.671783587,12,4
0.206749688,0.702037347,12,4
0.24120797,0.737447442,12,4
0.275666251,0.729825437,12,4
0.310124532,0.763329183,12,4
0.344582814,0.808059336,12,4
0.413499376,0.852637891,12,4
0.482415939,0.935506444,12,4
0.551332502,0.967621803,12,4
0.620249064,0.94607806,12,4
0.689165627,0.975271711,12,4
0.75808219,0.99999992,12,4
0.895915315,0.905806222,12,4
1.033748441,0.695236767,12,4
1.171581566,0.511007205,12,4
1.309414692,0.318633184,12,4
1.447247817,0.266240946,12,4
1.585080943,0.136877451,12,4
1.688455787,0.132687846,12,4
