z/h (z-axis),tke_tke_uwmax (x-axis)
0.2333333,0.994964925
0.2666667,0.916746719
0.3,0.858617089
0.3333333,0.785172098
0.3666667,0.685018022
0.4333333,0.362220004
0.5,0.183779501
0.5666667,0.114657255
0.6333333,0.095202115
0.7,0.068507306
0.7666667,0.056023732
0.8166667,0.04871945
0.01,0.526346406
0.0166667,0.531356602
0.0233333,0.486396444
0.03,0.596125347
0.04,0.599852712
0.05,0.668303063
0.0666667,0.740162349
0.0833333,0.79337608
0.1,0.799143268
0.1166667,0.784510698
0.1333333,0.952068829
0.15,0.945267538
0.1666667,0.920530778
0.2,0.957310353
0.2333333,0.928276287
0.2666667,1
0.3,0.844224478
0.3333333,0.730880012
0.3666667,0.65297602
0.4333333,0.394868076
0.5,0.20637234
0.5666667,0.124494422
0.6333333,0.121656677
0.7,0.082548354
0.7666667,0.054091999
0.8166667,0.049352959
0.01,0.550925657
0.0166667,0.548387657
0.0233333,0.616036722
0.03,0.594268934
0.04,0.565279895
0.05,0.616537587
0.0666667,0.609913331
0.0833333,0.640679553
0.1,0.661014185
0.1166667,0.71944398
0.1333333,0.694050781
0.15,0.772478862
0.1666667,0.817172753
0.2,0.823060742
0.2333333,0.842645825
0.2666667,1
0.3,0.780402877
0.3333333,0.707120587
0.3666667,0.688880821
0.4333333,0.455573839
0.5,0.305295591
0.5666667,0.197150597
0.6333333,0.156954124
0.7,0.11386999
0.7666667,0.074789195
0.8166667,0.066969148
0.01,0.660680229
0.0166667,0.665925723
0.0233333,0.701429681
0.03,0.680442627
0.04,0.728505828
0.05,0.683650457
0.0666667,0.726544103
0.0833333,0.823549512
0.1,0.829820178
0.1166667,0.882253959
0.1333333,0.922359964
0.15,0.900693531
0.1666667,0.94214877
0.2,0.908794656
0.2333333,1
0.2666667,0.96576562
0.3,0.972394359
0.3333333,0.987056409
0.3666667,0.866469477
0.4333333,0.738682846
0.5,0.503570489
0.5666667,0.311331373
0.6333333,0.185650515
0.7,0.127026726
0.7666667,0.07159453
0.8166667,0.066488124
