z/h (z-axis),rms_u/k^0.5 (x-axis)
0.5,0.908468917
0.5666667,0.873097521
0.7,1.033210523
0.7666667,0.911856334
0.8166667,0.853864987
0.01,1.926492562
0.0166667,2.011996901
0.0233333,1.852292409
0.03,1.904844407
0.04,1.98383802
0.05,2.019180426
0.0666667,2.154380177
0.0833333,2.064892504
0.1,2.119656077
0.1166667,2.414904147
0.1333333,2.132876079
0.15,2.347016151
0.1666667,2.264398117
0.2,2.117063397
0.2333333,1.76827245
0.2666667,1.433263732
0.3333333,1.083883697
0.3666667,0.976498445
0.4333333,0.834787945
0.5,0.845365569
0.5666667,0.829182038
0.7,0.876444219
0.7666667,0.802272867
0.8166667,0.827415616
0.01,1.874503113
0.0166667,1.95844717
0.0233333,1.892407647
0.03,2.031265739
0.04,2.082023275
0.05,2.237422904
0.0666667,2.401048035
0.0833333,2.305363284
0.1,2.301958024
0.1166667,2.249629208
0.1333333,2.466559708
0.15,2.276862008
0.1666667,2.220580209
0.2,1.958519129
0.2333333,1.82926362
0.2666667,1.567964755
0.3333333,1.213770235
0.3666667,1.090071211
0.4333333,0.900617773
0.5,0.898896896
0.5666667,0.86694176
0.7,1.002901799
0.7666667,0.863923755
0.8166667,0.83584876
0.01,1.786324377
0.0166667,1.892850737
0.0233333,1.780150557
0.03,1.925398789
0.04,1.834392007
0.05,2.125222065
0.0666667,2.366592097
0.0833333,2.057937036
0.1,2.154125429
0.1166667,2.304169379
0.1333333,2.2626957
0.15,2.257475026
0.1666667,2.128236836
0.2,1.967372556
0.2333333,1.694374796
0.2666667,1.671840386
0.3333333,1.182282414
0.3666667,1.090130646
0.4333333,0.923466224
0.5,0.958281487
0.5666667,0.93259416
0.7,1.024819438
0.7666667,0.986846466
0.8166667,0.878105819
0.01,1.625843551
0.0166667,1.707683724
0.0233333,1.67431539
0.03,1.751297883
0.04,1.67062551
0.05,1.877625996
0.0666667,2.077500922
0.0833333,2.013777168
0.1,2.018476317
0.1166667,2.194614911
0.1333333,2.14608252
0.15,2.106370453
0.1666667,2.002610782
0.2,2.014209146
0.2333333,1.81333442
0.2666667,1.59045497
0.3333333,1.441262284
0.3666667,1.320815676
0.4333333,1.08442869
0.5,1.112327193
0.5666667,1.076064692
0.7,1.114412589
0.7666667,1.066021768
0.8166667,1.001715886
0.01,1.60095969
0.0166667,1.612631921
0.0233333,1.622077727
0.03,1.581731144
0.04,1.61599718
0.05,1.806975071
0.0666667,2.046341772
0.0833333,1.750655417
0.1,1.88342847
0.1166667,2.030723427
0.1333333,2.120944271
0.15,1.929764595
0.1666667,1.944470342
0.2,1.948567163
0.2333333,1.809010143
0.2666667,1.715202712
0.3333333,1.350291513
0.3666667,1.331560494
0.4333333,1.052633797
0.5,1.043122769
0.5666667,1.035548081
0.7,1.174105099
0.7666667,0.981896544
0.8166667,0.936760217
0.01,1.641867646
0.0166667,1.868287517
0.0233333,1.722819428
0.03,1.614551367
0.04,1.694703343
0.05,1.555482228
0.0666667,1.788898443
0.0833333,1.74890428
0.1,1.906444118
0.1166667,1.963825655
0.1333333,1.969360538
0.15,2.228219176
0.1666667,2.318569348
0.2,2.535563511
0.2333333,2.708813985
0.2666667,2.950899394
0.3,3.452986104
0.3333333,3.664278389
0.3666667,2.383428214
0.4333333,1.610334088
0.5,1.746768457
0.5666667,1.457849613
0.7,1.358968293
0.7666667,0.929907776
0.8166667,0.930952519
0.01,1.96776129
0.0166667,1.842502966
0.0233333,1.869006256
0.03,2.046883341
0.04,1.872743027
0.05,1.685087452
0.0666667,2.392066946
0.0833333,2.291596877
0.1,2.54452369
0.1166667,2.532955907
0.1333333,2.688047595
0.15,2.71735414
0.1666667,2.737111357
0.2,2.950158758
0.2333333,3.044978271
0.2666667,3.129285516
0.3,3.275479374
0.3333333,3.434756002
0.3666667,2.401916938
0.4333333,1.70482359
0.5,1.716584433
0.5666667,1.291926011
0.7,1.072106952
0.7666667,1.056538702
0.8166667,1.090794317
0.01,1.981958277
0.0166667,2.101113971
0.0233333,2.028499638
0.03,2.078819355
0.04,1.908187931
0.05,1.799692877
0.0666667,2.312617339
0.0833333,2.563712229
0.1,2.719252756
0.1166667,2.728851848
0.1333333,2.935419135
0.15,2.943851369
0.1666667,3.016813239
0.2,3.269452309
0.2333333,3.392591541
0.2666667,3.140271707
0.3,3.27671734
0.3333333,3.535675813
0.3666667,2.548225998
0.4333333,1.976521631
0.5,2.039936779
0.5666667,1.457908308
0.7,1.140857642
0.7666667,1.1652903
0.8166667,1.118464034
0.01,2.277667817
0.0166667,2.30169002
0.0233333,2.220745194
0.03,2.275078325
0.04,2.030584121
0.05,1.93961721
0.0666667,2.414969701
0.0833333,2.419993627
0.1,2.564511645
0.1166667,2.666983993
0.1333333,2.905717586
0.15,3.002956565
0.1666667,3.31272981
0.2,3.471510062
0.2333333,3.416322211
0.2666667,3.443576107
0.3,3.481024076
0.3666667,3.238127362
0.4333333,2.384198959
0.5,2.513691985
