z/z2 (z-axis),tke_defect (x-axis)
0.236469976,0.807783104
0.315293302,0.883406786
0.394116627,0.979731159
0.472939952,0.962392312
0.551763278,1
0.630586603,0.977898995
0.709409929,0.931360424
0.788233254,0.849494687
0.945879905,0.775666998
1.103526556,0.533055671
1.261173206,0.318943608
1.418819857,0.185829305
1.576466508,0.120612057
1.734113159,0.06898355
2.04940646,0.045550435
2.364699762,0.025236047
2.679993064,0.014690801
2.995286365,0.025446993
3.310579667,-0.00580213
3.625872968,-0.01658094
3.862342945,-0.017554162
0.042302377,0.72012281
0.070503962,0.772510646
0.098705547,0.768475999
0.126907132,0.740796213
0.16920951,0.754276289
0.211511887,0.862041721
0.282015849,1
0.352519812,0.969915073
0.423023774,0.992844879
0.493527736,0.970018882
0.564031699,0.962864746
0.634535661,0.931182254
0.705039623,0.883820498
0.846047548,0.845329084
0.987055473,0.516073045
1.128063397,0.398008835
1.269071322,0.248853624
1.410079246,0.175863331
1.551087171,0.092674012
1.83310302,0.039156398
2.11511887,0.026652757
2.397134719,0.017072615
2.679150568,0.016298938
2.961166418,0.015252016
3.243182267,-0.014653448
3.454694154,-0.015431028
0.038364643,0.676248429
0.063941072,0.666277789
0.089517501,0.722913259
0.115093929,0.78479449
0.153458573,0.744939539
0.191823216,0.757776227
0.255764288,0.812876107
0.31970536,0.832759819
0.383646431,0.934182834
0.447587503,0.833831665
0.511528575,0.86797668
0.575469647,1
0.639410719,0.895663887
0.767292863,0.792854431
0.895175007,0.614596868
1.023057151,0.49271755
1.150939294,0.435710279
1.278821438,0.286539242
1.406703582,0.11616084
1.66246787,0.060672636
1.918232157,0.036664418
2.173996445,0.027108834
2.429760733,0.035048779
2.68552502,0.008601542
2.941289308,-0.013030855
3.133112523,-0.012626838
0.036059859,0.666243757
0.060099766,0.682827063
0.084139672,0.661074421
0.108179578,0.739183307
0.144239437,0.768884097
0.180299297,0.695322685
0.240399062,0.838332905
0.300498828,0.865307047
0.360598594,0.844969868
0.420698359,0.84757787
0.480798125,0.939168434
0.54089789,1
0.600997656,0.931363554
0.721197187,0.855986445
0.841396719,0.747169591
0.96159625,0.55519906
1.081795781,0.430141995
1.201995312,0.354382021
1.322194843,0.190904302
1.562593906,0.051860422
1.802992968,0.025624062
2.043392031,-0.001708601
2.283791093,0.022973082
2.524190156,-0.020277609
2.764589218,-0.03338612
2.944888515,-0.031023758
0.044562618,0.035849788
0.07427103,0.028787737
0.103979442,0.033854423
0.133687854,0.037919476
0.178250472,0.03593014
0.22281309,0.049066235
0.297084119,0.063493848
0.371355149,0.067994903
0.445626179,0.077022463
0.519897209,0.133878301
0.594168239,0.159045269
0.668439269,0.19299303
0.742710298,0.1748383
0.891252358,0.1678774
1.039794418,0.064924961
1.188336477,0.023699135
1.485420597,0.004766126
1.633962657,0.003224833
1.931046776,-0.007170913
2.228130895,-0.001503889
2.525215015,0.005834311
2.822299134,-0.071336664
3.119383253,0.000392672
3.416467373,-0.001095308
3.639280462,-0.001098647
0.043007053,0.069809877
0.071678422,0.080540478
0.100349791,0.094446017
0.129021159,0.095443589
0.172028213,0.103164943
0.215035266,0.119512935
0.286713688,0.133566382
0.35839211,0.131638924
0.430070532,0.160071527
0.501748953,0.157180314
0.573427375,0.166972381
0.645105797,0.188240903
0.716784219,0.188534865
0.860141063,0.162845699
1.003497907,0.088968979
1.146854751,0.047821571
1.433568439,0.012403089
1.576925282,0.016580467
1.86363897,0.003834573
2.150352658,-0.00249752
2.437066346,-0.003905331
2.723780033,-0.0685252
3.010493721,0.001386737
3.297207409,-0.001350758
3.512242674,-0.002066413
0.042390245,0.120843358
0.070650408,0.139894473
0.098910571,0.138575922
0.127170734,0.126879303
0.169560978,0.149467583
0.211951223,0.140358274
0.282601631,0.160748233
0.353252038,0.149236428
0.423902446,0.153369633
0.494552854,0.187248352
0.565203261,0.157544731
0.635853669,0.196451383
0.706504077,0.175160026
0.847804892,0.139928091
0.989105707,0.085520704
1.130406522,0.044500562
1.413008153,0.029292678
1.554308968,0.021281156
1.836910599,-0.00156473
2.11951223,-0.003615186
2.40211386,-0.005484706
2.684715491,-0.075193246
2.967317121,-0.001616196
3.249918752,-0.002744555
3.461869975,-0.002408147
0.047293995,0.139065729
0.078823325,0.15411181
0.110352656,0.150942443
0.141881986,0.172613261
0.189175981,0.17734316
0.236469976,0.202514317
0.315293302,0.206231282
0.394116627,0.206624677
0.472939952,0.199573821
0.551763278,0.164626983
0.630586603,0.209245928
0.709409929,0.181061485
0.788233254,0.165997701
0.945879905,0.113796642
1.103526556,0.085271875
1.261173206,0.053607974
1.576466508,0.014083159
1.734113159,0.004938338
3.310579667,0.000389462
0.042302377,0.1219073
0.070503962,0.138774834
0.098705547,0.130648494
0.126907132,0.146737409
0.16920951,0.153895367
0.211511887,0.204960127
0.282015849,0.177150614
0.352519812,0.164817464
0.423023774,0.169928611
0.493527736,0.169345331
0.564031699,0.175198695
0.634535661,0.17055976
0.705039623,0.144486959
0.846047548,0.108652837
0.987055473,0.076946584
1.128063397,0.061409686
1.410079246,0.011941002
1.551087171,0.006009413
2.961166418,0.001217655
0.038364643,0.110455456
0.063941072,0.119633807
0.089517501,0.113928902
0.115093929,0.127558695
0.153458573,0.122424532
0.191823216,0.132059364
0.255764288,0.145936086
0.31970536,0.154847575
0.383646431,0.148753454
0.447587503,0.163080198
0.511528575,0.155941999
0.575469647,0.137124419
0.639410719,0.126949597
0.767292863,0.125820488
0.895175007,0.089737057
1.023057151,0.064073219
1.278821438,0.033250689
1.406703582,0.020805842
1.66246787,0.004764967
1.918232157,0.005160609
2.173996445,0.00303898
2.429760733,-0.070946965
2.68552502,0.005653127
2.941289308,0.004485091
3.133112523,0.002920035
0.036059859,0.098231399
0.060099766,0.092471179
0.084139672,0.097636277
0.108179578,0.101910336
0.144239437,0.107064527
0.180299297,0.148217415
0.240399062,0.132910091
0.300498828,0.126833324
0.360598594,0.129020473
0.420698359,0.187926902
0.480798125,0.145140072
0.54089789,0.12824748
0.600997656,0.117840088
0.721197187,0.110635608
0.841396719,0.087193422
0.96159625,0.068076654
1.201995312,0.031090258
1.322194843,0.023308741
1.562593906,0.003385263
1.802992968,0.000930511
2.043392031,0.000103091
2.524190156,0.003647418
0.044562618,0.150974453
0.07427103,0.231086463
0.103979442,0.17415148
0.133687854,0.148808289
0.178250472,0.191585549
0.22281309,0.172317766
0.297084119,0.253912508
0.371355149,0.213029411
0.445626179,0.255506786
0.519897209,0.285668037
0.594168239,0.294538333
0.668439269,0.405843282
0.742710298,0.542696384
0.891252358,0.548469073
1.039794418,0.676327842
1.188336477,0.870388456
1.336878537,1
1.485420597,0.83180353
1.633962657,0.481302508
1.931046776,0.180416166
2.228130895,0.096517593
2.525215015,0.049867382
3.119383253,0.051062432
0.043007053,0.292097386
0.071678422,0.284024578
0.100349791,0.295459486
0.129021159,0.334900612
0.172028213,0.326826738
0.215035266,0.419880142
0.286713688,0.510325603
0.35839211,0.466558522
0.430070532,0.543166809
0.501748953,0.607841305
0.573427375,0.596955388
0.645105797,0.662498167
0.716784219,0.704479143
0.860141063,0.777639832
1.003497907,0.898980289
1.146854751,1
1.290211595,0.940577669
1.433568439,0.767553126
1.576925282,0.472889514
1.86363897,0.18383521
2.150352658,0.10029289
2.437066346,0.041685926
3.010493721,0.010458124
3.297207409,0.009697113
3.512242674,0.010478627
0.042390245,0.392914563
0.070650408,0.414256617
0.098910571,0.398810259
0.127170734,0.382939163
0.169560978,0.392379672
0.211951223,0.508912301
0.282601631,0.700705949
0.353252038,0.68352303
0.423902446,0.672955833
0.494552854,0.737081843
0.565203261,0.856838947
0.635853669,0.901229758
0.706504077,0.876290096
0.847804892,0.996688345
