z/D (z-axis),rss_uw/U_R2(x-axis),Avg_u/U_R(x-axis),rms_u/U_R(x-axis),rms_w/U_R(x-axis),tke/U_R2(x-axis)
0.5,0.028914601,0.097892656,0.406154522,0.221654846,0.172226335
0.6,0.033967655,0.194402839,0.399325114,0.228811329,0.175129395
0.7,0.025177822,0.343793289,0.368220866,0.234079255,0.157182688
0.8,0.033789003,0.482429609,0.396159096,0.250656573,0.177118161
0.9,0.044966543,0.557203262,0.396133734,0.255674843,0.171697234
1,0.046891694,0.732153568,0.388223284,0.251379481,0.16404721
1.2,0.031565583,1.015802112,0.356953971,0.204835694,0.139512271
1.4,0.02060821,1.214592539,0.28501787,0.175125643,0.089131384
1.6,0.013412235,1.308972389,0.232808342,0.157797587,0.063579095
1.8,0.004534806,1.313073775,0.171247048,0.107959344,0.032719166
2,0.003846297,1.282525328,0.145668327,0.088614877,0.025191985
2.2,0.002730176,1.293236121,0.127061077,0.074956191,0.01703629
2.6,0.002436804,1.249831108,0.106714317,0.063423238,0.011464315
3,0.0017226,1.218261918,0.087812276,0.052724443,0.007855239
3.4,0.000997487,1.185699559,0.074244301,0.042788612,0.005453077
3.8,0.0010302,1.157361306,0.070464047,0.038561583,0.006083794
4.2,0.000517696,1.165368659,0.057755885,0.031973609,0.00344697
4.6,0.000223182,1.165616531,0.046990881,0.02620805,0.002417799
4.9,0.000139945,1.155891048,0.043409324,0.024378247,0.002101583
0.06,0.029027708,-0.411577107,0.456208054,0.241776309,0.229505058
0.1,0.030868699,-0.4291967,0.477656611,0.240143591,0.248994392
0.14,0.028862956,-0.379248761,0.444823921,0.257773786,0.234320208
0.18,0.037174867,-0.230653812,0.481935148,0.280669184,0.255468863
0.24,0.043514555,-0.164131783,0.476622781,0.263188065,0.244019271
0.3,0.039525802,-0.139504639,0.453619752,0.261112438,0.237795054
0.4,0.044629779,0.069015666,0.45019326,0.273960366,0.229975094
0.5,0.053347633,0.11994524,0.477142962,0.277900279,0.232982449
0.6,0.045272894,0.288352032,0.453425437,0.265698392,0.209485315
0.7,0.053227229,0.374383136,0.441438194,0.265887128,0.19882764
0.8,0.048072984,0.495134613,0.421651057,0.266503883,0.197125546
0.9,0.044904517,0.667426518,0.40397238,0.262111236,0.18137863
1,0.043472369,0.729839444,0.392381427,0.252648048,0.169575421
1.2,0.032672747,0.964799495,0.370585747,0.211225241,0.147076438
1.4,0.016093108,1.164474188,0.285296516,0.167924038,0.088133881
1.6,0.011740041,1.247935139,0.23704076,0.141318205,0.059065407
1.8,0.005421945,1.275159176,0.188043625,0.116435656,0.036578678
2,0.0031974,1.292360517,0.148674454,0.090741755,0.024982962
2.2,0.002676932,1.283334281,0.130582012,0.078817329,0.018333024
2.6,0.001620737,1.255728666,0.102805046,0.062034085,0.010710483
3,0.001236195,1.222251165,0.085580781,0.049597731,0.007289984
3.4,0.000799628,1.205403648,0.070163241,0.039808175,0.004810609
3.8,0.000629677,1.153085031,0.06271351,0.033884195,0.005315382
4.2,0.000196776,1.1699654,0.049222152,0.026981184,0.002825062
4.6,0.000182946,1.163949482,0.046761386,0.025306475,0.002288441
4.9,0.000151076,1.156252472,0.045000134,0.022899725,0.002088882
0.06,0.044316673,-0.104226617,0.466222075,0.286116922,0.253529011
0.1,0.035811387,-0.101276832,0.425405943,0.27425374,0.235446001
0.14,0.043655212,-0.050837566,0.446854874,0.300271397,0.245942247
0.18,0.045133841,-0.019675362,0.469571398,0.279906825,0.255441166
0.24,0.05600918,0.001366237,0.458747674,0.285651717,0.244175307
0.3,0.044295822,0.146488819,0.439381098,0.285596248,0.231690954
0.4,0.054718053,0.211732049,0.450051257,0.296571472,0.237107268
0.5,0.072518366,0.296665398,0.472157118,0.301665633,0.240703109
0.6,0.048155234,0.379083551,0.425338481,0.278703807,0.207237168
0.7,0.059181095,0.490802597,0.42477721,0.276189385,0.201808591
0.8,0.052713147,0.622575052,0.43224519,0.261607286,0.199051854
0.9,0.051272018,0.705245491,0.413484185,0.24971776,0.176195702
1,0.038745265,0.82571034,0.378591184,0.234297546,0.154933243
1.2,0.029152165,0.954816374,0.347153769,0.207755806,0.131259057
1.4,0.016726881,1.051871549,0.285823343,0.175204656,0.088236894
1.6,0.009679503,1.107896033,0.224874165,0.135836465,0.053775004
1.8,0.005535907,1.173352398,0.176810724,0.110224476,0.033814167
2,0.003702416,1.182403681,0.14723404,0.093713105,0.023290052
2.2,0.001808451,1.199879028,0.128790486,0.080128599,0.017039611
2.6,0.002086054,1.167000593,0.115531432,0.067392193,0.012711113
3,0.001135441,1.168518082,0.094909107,0.052996637,0.008374129
3.4,0.000732509,1.138330768,0.080524134,0.044342863,0.005952263
3.8,0.000230811,1.175613635,0.07154284,0.03819648,0.005516079
4.2,0.000190099,1.132465035,0.058517129,0.029931258,0.003485397
4.6,3.08E-05,1.129822253,0.051229017,0.026347883,0.002617021
4.9,0.000117388,1.12536966,0.047892984,0.024231775,0.00220975
0.06,0.033985579,0.241545282,0.452614473,0.27588975,0.26199612
0.1,0.044273131,0.29696344,0.475610629,0.300978152,0.272945684
0.14,0.042155659,0.301126444,0.444074243,0.298039753,0.245153688
0.18,0.031862739,0.264652369,0.438439059,0.27809339,0.236779836
0.24,0.04620741,0.366879942,0.419761085,0.284524027,0.212043043
0.3,0.042492227,0.370432105,0.43339984,0.280884588,0.219290124
0.4,0.058011295,0.437483417,0.439581662,0.289474214,0.235633559
0.5,0.049236334,0.515464889,0.424991847,0.276541249,0.213201508
0.6,0.055844426,0.555113853,0.418670059,0.274510713,0.190104342
0.7,0.046760712,0.603814319,0.397961118,0.257190631,0.175600808
0.8,0.050488301,0.706941117,0.412279939,0.254078875,0.175151872
0.9,0.045352542,0.723004502,0.383744954,0.245484139,0.157283898
1,0.032138644,0.82943771,0.360696875,0.217299818,0.143255689
1.2,0.028121903,0.883511133,0.344949253,0.211190233,0.126255844
1.4,0.012914489,1.019941261,0.27130554,0.162979264,0.077455987
1.6,0.014099681,1.046611728,0.232479319,0.148564827,0.057470072
1.8,0.008584414,1.1047452,0.196244302,0.115196097,0.037538875
2,0.005183768,1.096026028,0.166442429,0.095058106,0.026869993
2.2,0.003085017,1.108194332,0.138651556,0.081996003,0.018284912
2.6,0.001990097,1.122396393,0.110531009,0.06614996,0.011696673
3,0.000961581,1.118338016,0.093639719,0.054676671,0.008221447
3.4,0.000519306,1.127562797,0.080482819,0.045709775,0.005973163
3.8,0.000626558,1.172830223,0.079892685,0.040032818,0.004720788
4.2,0.000206418,1.129849499,0.062577515,0.030962322,0.004780275
4.6,0.000110206,1.124118144,0.055933382,0.028267336,0.002861831
4.9,3.94E-05,1.104544922,0.05180229,0.024855517,0.002467628
0.06,0.021772992,0.591435046,0.413296659,0.228706137,0.227351454
0.1,0.026519413,0.553143068,0.430124807,0.248627963,0.221117348
0.14,0.028208018,0.589945365,0.40722142,0.261439492,0.212816651
0.18,0.034488328,0.546017277,0.431014445,0.270973848,0.225854005
0.24,0.028332184,0.62290674,0.39285932,0.248586899,0.19125924
0.3,0.038109293,0.526619546,0.377894499,0.266178612,0.179902863
0.4,0.034591835,0.58891412,0.381030994,0.261961636,0.18054277
0.5,0.04197873,0.630234404,0.382673067,0.251252086,0.170467105
0.6,0.037169604,0.625462248,0.381379303,0.239633577,0.163639106
0.7,0.035894147,0.718173641,0.360631307,0.226738056,0.140508661
0.8,0.037934833,0.766712715,0.360753129,0.230181286,0.145247822
0.9,0.032268997,0.794630265,0.357467534,0.229074489,0.151303388
1,0.02864471,0.813273051,0.336006041,0.212781382,0.131308379
1.2,0.030121364,0.928577461,0.327170259,0.193448687,0.10841032
1.4,0.016976118,0.958438832,0.282651404,0.162660249,0.081071449
1.6,0.012262493,1.018755725,0.249021869,0.138607024,0.061822992
1.8,0.011129344,1.003773834,0.230498628,0.131900076,0.051537363
2,0.007948877,1.069569861,0.190393916,0.11183933,0.034258852
2.2,0.002973389,1.092520465,0.136017552,0.082062668,0.019234745
2.6,0.002329755,1.101725208,0.118689274,0.067651687,0.012873086
3,0.000796606,1.093022265,0.098002177,0.053121476,0.008650357
3.4,0.000711199,1.077278643,0.086238036,0.044882077,0.006433798
3.8,0.000395887,1.076505558,0.092729025,0.03870693,0.005651579
4.2,5.36E-05,1.080379199,0.069659564,0.034302237,0.004330354
4.6,-2.29E-05,1.088016854,0.058772192,0.028360771,0.003037824
4.9,1.34E-05,1.082422371,0.055125712,0.025461455,0.002703513
0.06,0.020061682,0.768854238,0.396175956,0.217118426,0.195042334
0.1,0.020878485,0.76965347,0.402700762,0.216585783,0.195350088
0.14,0.023644783,0.751995591,0.384640331,0.212577422,0.172599229
0.18,0.019154211,0.757901896,0.390081092,0.235779274,0.186461443
0.24,0.02948256,0.712042009,0.372768383,0.230316146,0.169471381
0.3,0.018380645,0.685637703,0.334434949,0.21771712,0.146023516
0.4,0.025215065,0.758859092,0.369375103,0.22760181,0.159619724
0.5,0.031565734,0.752870134,0.36193081,0.231721104,0.151260226
0.6,0.030872929,0.749614289,0.341514204,0.217641467,0.129557176
0.7,0.02796025,0.774685062,0.318656859,0.208588466,0.122519643
0.8,0.034734648,0.790413667,0.343845085,0.222173066,0.132729972
