z/D (z-axis),rss_uw/U_R2(x-axis)
1.875,0.00456209
2.125,0.001370807
2.375,0.001189527
2.625,0.000738463
2.875,0.000435342
3.0625,0.000348494
0.0375,0.010654344
0.0625,0.01981027
0.0875,0.020768068
0.1125,0.023687769
0.15,0.023852591
0.1875,0.029274003
0.25,0.044351002
0.3125,0.051827557
0.375,0.048419449
0.4375,0.05531671
0.5,0.05831637
0.5625,0.064790791
0.625,0.072176018
0.75,0.059300568
0.875,0.063424342
1,0.061983287
1.125,0.05441878
1.25,0.047016961
1.375,0.04159141
1.625,0.013900402
1.875,0.007188113
2.125,0.002847334
2.375,0.001477749
2.625,0.000824488
2.875,0.000410961
3.0625,0.000329077
0.0375,0.02294046
0.0625,0.017443377
0.0875,0.024446149
0.1125,0.025526207
0.15,0.025470195
0.1875,0.039940389
0.25,0.032194409
0.3125,0.042039709
0.375,0.05340291
0.4375,0.050157097
0.5,0.051337407
0.5625,0.04960464
0.625,0.04950426
0.75,0.059655643
0.875,0.052679757
1,0.051209322
1.125,0.045658925
1.25,0.028985043
1.375,0.0271312
1.625,0.015877783
1.875,0.005675784
2.125,0.001909031
2.375,0.001517294
2.625,0.000827704
2.875,0.000274196
3.0625,0.000335597
0.0375,0.008742795
0.0625,0.020302745
0.0875,0.01720422
0.1125,0.016862981
0.15,0.026982119
0.1875,0.024374903
0.25,0.024337486
0.3125,0.029346901
0.375,0.032997915
0.4375,0.044073515
0.5,0.040090835
0.5625,0.041332909
0.625,0.037076179
0.75,0.034999515
0.875,0.03843233
1,0.033897101
1.125,0.034001327
1.25,0.028192274
1.375,0.024035085
1.625,0.017841173
1.875,0.009618369
2.125,0.004475316
2.375,0.00107548
2.625,0.000798812
2.875,0.000179067
3.0625,0.000236374
0.0375,0.017953763
0.0625,0.010798037
0.0875,0.009088476
0.1125,0.017227203
0.15,0.014580607
0.1875,0.023619636
0.25,0.018934818
0.3125,0.023507229
0.375,0.030155711
0.4375,0.02280019
0.5,0.032798463
0.5625,0.029836587
0.625,0.028636154
0.75,0.036152608
0.875,0.02420836
1,0.037045403
1.125,0.026632524
1.25,0.027852015
1.375,0.030503239
1.625,0.017233553
1.875,0.012614134
2.125,0.005204089
2.375,0.001821708
2.625,0.00163738
2.875,0.000617607
3.0625,0.000372579
0.0375,0.003928759
0.0625,0.001891028
0.0875,0.002402815
0.1125,0.00500862
0.15,0.005603317
0.1875,0.004044854
0.25,0.003764352
0.3125,0.004182419
0.375,0.005341219
0.4375,0.00874879
0.5,0.007325982
0.5625,0.010253911
0.625,0.00457407
0.75,0.013729484
0.875,0.023435255
1,0.047807199
1.125,0.045940275
1.25,0.036001789
1.375,0.014134714
1.625,0.003132337
1.875,0.001358785
2.125,0.000507808
2.375,0.002490244
2.625,0.002006764
2.875,0.001384459
3.0625,0.001271496
0.0375,0.011138733
0.0625,0.015126663
0.0875,0.016440974
0.1125,0.013423119
0.15,0.027756418
0.1875,0.017457648
0.25,0.015468504
0.3125,0.024887282
0.375,0.026887339
0.4375,0.023877776
0.5,0.027278969
0.5625,0.028733335
0.625,0.02935923
