z* (z-axis),rss_uw-rss_uwmin/rss_uwmax_rss_uwmin (x-axis)
0.3134405,0.726092005
0.3761286,0.810156454
0.4388168,0.780712277
0.5015049,0.951994874
0.564193,0.930578023
0.6268811,1
0.7522573,0.845069554
0.8776335,0.764525926
1.0030097,0.493493709
1.1283859,0.442674116
1.2537622,0.335188725
1.3791384,0.194018902
1.6298908,0.098254387
1.8806432,0.072897676
2.1313957,0.027028105
2.3821481,0.018730278
2.6329005,0.006274939
2.883653,0
3.0717173,0.000553657
0.04552,-0.007655141
0.0758667,0
0.1062133,0.004276729
0.13656,0.097170385
0.18208,0.004547335
0.2276,0.123959276
0.3034666,0.210408878
0.3793333,0.261665583
0.4552,0.279517978
0.5310666,0.497623759
0.6069333,0.584055818
0.6828,0.924626166
0.7586666,1
0.9103999,0.85979569
1.0621333,0.25272336
1.2138666,0.138384404
1.3655999,0.121050085
1.5173332,0.104264346
1.6690666,0.13666572
1.9725332,0.089329191
2.2759998,0.092747991
2.5794665,-0.0589705
2.8829331,0.049369835
3.1863998,0.031000382
3.4898664,0.02245444
3.7174664,0.01323747
0.0446325,0.170613138
0.0743875,0.289595013
0.1041425,0.291930716
0.1338975,0.324782303
0.17853,0.455106354
0.2231625,0.519161637
0.29755,0.592304424
0.3719374,0.633024963
0.4463249,0.932122906
0.5207124,0.839468129
0.5950999,0.831617613
0.6694874,1
0.7438749,0.958040711
0.8926499,0.852035851
1.0414248,0.383639828
1.1901998,0.215212375
1.3389748,0.120116088
1.4877498,0.108255302
1.6365248,0.102387752
1.9340747,0.094113512
2.2316247,0.070164943
2.5291746,0.046328236
2.8267246,0.059840254
3.1242745,0.024033625
3.4218245,0.011943592
3.644987,0
0.0432684,0.284036325
0.072114,0.271059231
0.1009595,0.4387567
0.1298051,0.439200237
0.1730735,0.587291864
0.2163419,0.605236309
0.2884558,0.597027156
0.3605698,0.780862796
0.4326837,0.759462171
0.5047977,1
0.5769116,0.745656396
0.6490256,0.811648973
0.7211395,0.715633419
0.8653674,0.556263611
1.0095954,0.389834088
1.1538233,0.219292095
1.2980512,0.120598884
1.4422791,0.085434906
1.586507,0.073449757
1.8749628,0.059007324
2.1634186,0.039475845
2.4518744,0.033851136
2.7403302,0.013923499
3.0287861,0.00816368
3.3172419,0.001195008
3.5335837,0
0.0480417,0.420483045
0.0800694,0.44144729
0.1120972,0.541641265
0.144125,0.690300302
0.1921666,0.758987636
0.2402083,0.780981591
0.3202777,0.960986094
0.4003471,0.926022069
0.4804166,0.820205797
0.560486,0.761737507
0.6405554,1
0.7206249,0.862816489
0.8006943,0.77807534
0.9608332,0.521609929
1.120972,0.403582937
1.2811109,0.298828833
1.4412497,0.120548858
1.6013886,0.100443128
1.7615275,0.087058844
2.0818052,0.052636933
2.4020829,0.046848447
2.7223606,0.035519904
3.0426383,0.017238184
3.3629161,0.017928004
3.6831938,0.003201091
3.9234021,0
0.048901,0.389389424
0.0815016,0.494979641
0.1141022,0.492283118
0.1467029,0.692084225
0.1956038,0.626581143
0.2445048,0.835414344
0.3260064,0.862028235
0.407508,0.724454014
0.4890096,1
0.5705112,0.845946416
0.6520128,0.926090332
0.7335144,0.873335888
0.815016,0.795552194
0.9780192,0.520144028
1.1410223,0.393940208
1.3040255,0.406775953
1.4670287,0.207166872
1.6300319,0.115074766
1.7930351,0.089178306
2.1190415,0.067295246
2.4450479,0.051965771
2.7710543,0.045880662
3.0970607,0.034122146
3.423067,0.008661371
3.7490734,0.006349414
3.9935782,0
0.0406979,0.297898286
0.0678299,0.389883695
0.0949618,0.474584371
0.1220938,0.460376371
0.1627917,0.556263027
0.2034896,0.567529275
0.2713195,0.782351312
0.3391493,0.993222286
0.4069792,0.860901962
0.4748091,0.90047589
0.5426389,1
0.6104688,0.887740254
0.6782986,0.897048591
0.8139584,0.87963007
0.9496181,0.560084292
1.0852778,0.398299619
1.2209376,0.296341252
1.3565973,0.18744276
1.492257,0.136386987
1.7635765,0.089268201
2.0348959,0.062931876
2.3062154,0.041722232
2.5775348,0.031847852
2.8488543,0.012606535
3.1201738,0.00709846
3.3236634,0
0.0357109,0.380732013
0.0595181,0.330285325
0.0833254,0.381689995
0.1071327,0.407923412
0.1428435,0.405988211
0.1785544,0.536055993
0.2380726,0.583749122
0.2975907,0.664501655
0.3571089,0.663241684
0.416627,0.798896113
0.4761452,1
0.5356633,0.85686733
0.5951814,0.827220701
0.7142177,0.78246431
0.833254,0.794706971
0.9522903,0.550590793
1.0713266,0.432283029
1.1903629,0.241678399
1.3093992,0.240011265
1.5474717,0.136075946
1.7855443,0.066499275
2.0236169,0.050064741
2.2616895,0.024311819
2.499762,0.036129178
2.7378346,0.00957909
2.9163891,0
0.0280915,0
0.0468191,0.019617889
0.0655468,0.021189293
0.0842744,0.007133382
0.1123659,0.03777118
0.1404573,-0.05362677
0.1872764,0.023469424
0.2340956,0.068073263
0.2809147,0.118203572
0.3277338,0.14143222
0.3745529,0.258753073
0.421372,0.2547136
0.4681911,0.249917904
0.5618293,0.400253266
0.6554676,0.554075376
0.7491058,0.865806445
0.842744,1
0.9363822,0.793516331
1.0300205,0.361493104
1.2172969,0.119888204
1.4045734,0.082317638
1.5918498,0.065217369
1.7791263,0.043505635
1.9664027,0.019281133
2.1536792,0.009066802
2.2941365,0.007210309
0.0260369,0.088737653
0.0433948,0.155747729
0.0607528,0.207075362
0.0781107,0.147634114
0.1041476,0.181121931
0.1301845,0.257824307
0.1735793,0.515991475
0.2169742,0.352469942
0.260369,0.407136459
0.3037638,0.526133601
0.3471587,0.478688961
0.3905535,0.634864779
0.4339484,0.570332863
0.520738,0.717671055
0.6075277,0.812625203
0.6943174,0.856246578
0.781107,1
0.8678967,0.859681906
0.9546864,0.606186222
