z/z1,x/D,Run,Avg_udefect,z/z2,RMS_udefect,z/z2,RMS_wdefect,z/z2,RSS_uwdefect,z/z2,tke_defect
2.370922046,10,1,-0.325615074,1.406703582,0.324896649,1.406703582,0.267091114,1.406703582,0.149511322,1.406703582,0.11616084
2.801998782,10,1,-0.375920218,1.66246787,0.151109251,1.66246787,0.181640284,1.66246787,0.067164774,1.66246787,0.060672636
3.233075518,10,1,-0.359883429,1.918232157,0.10304946,1.918232157,0.117365001,1.918232157,-0.002499029,1.918232157,0.036664418
3.664152254,10,1,-0.312602627,2.173996445,0.073481541,2.173996445,0.096226124,2.173996445,0.00851839,2.173996445,0.027108834
4.095228989,10,1,-0.342529308,2.429760733,0.053454583,2.429760733,0.072193857,2.429760733,0.000598767,2.429760733,0.035048779
4.526305725,10,1,-0.338402759,2.68552502,0.016151546,2.68552502,0.051832192,2.68552502,-0.01622321,2.68552502,0.008601542
4.957382461,10,1,-0.374458889,2.941289308,-0.080425924,2.941289308,0.015458351,2.941289308,-0.024373605,2.941289308,-0.013030855
5.280690012,10,1,-0.354680369,3.133112523,-0.08773078,3.133112523,0.000645172,3.133112523,-0.021946074,3.133112523,-0.012626838
0.052508416,12,1,0.690869619,0.036059859,0.596105768,0.036059859,0.628406277,0.036059859,0.215318012,0.036059859,0.666243757
0.087514027,12,1,0.692344266,0.060099766,0.644642652,0.060099766,0.688398092,0.060099766,0.244298899,0.060099766,0.682827063
0.122519638,12,1,0.78860518,0.084139672,0.625116767,0.084139672,0.734599939,0.084139672,0.261228646,0.084139672,0.661074421
0.157525249,12,1,0.771117913,0.108179578,0.655408552,0.108179578,0.779625346,0.108179578,0.269522172,0.108179578,0.739183307
0.210033665,12,1,0.911830651,0.144239437,0.670159649,0.144239437,0.816927226,0.144239437,0.325052676,0.144239437,0.768884097
0.262542082,12,1,0.953287802,0.180299297,0.689699618,0.180299297,0.83130026,0.180299297,0.385702506,0.180299297,0.695322685
0.350056109,12,1,0.916201511,0.240399062,0.776861401,0.240399062,0.876160169,0.240399062,0.481448922,0.240399062,0.838332905
0.437570136,12,1,0.92270653,0.300498828,0.823581024,0.300498828,0.901033373,0.300498828,0.607813957,0.300498828,0.865307047
0.525084163,12,1,1,0.360598594,0.873917978,0.360598594,0.936345305,0.360598594,0.698601512,0.360598594,0.844969868
0.61259819,12,1,0.926348838,0.420698359,0.898133801,0.420698359,0.960216035,0.420698359,0.77882281,0.420698359,0.84757787
0.700112217,12,1,0.959515138,0.480798125,0.92879616,0.480798125,0.986917948,0.480798125,0.875498544,0.480798125,0.939168434
0.787626245,12,1,0.786774362,0.54089789,0.972803332,0.54089789,0.986725389,0.54089789,0.96760608,0.54089789,1
0.875140272,12,1,0.682431453,0.600997656,1,0.600997656,1,0.600997656,1,0.600997656,0.931363554
1.050168326,12,1,0.426699509,0.721197187,0.956520796,0.721197187,0.914578429,0.721197187,0.894257043,0.721197187,0.855986445
