z/z2,Horizontal Distance ( Multiple of D),Run,RMS_udefect
1.918232,10,1,0.103049
2.173996,10,1,0.073482
2.429761,10,1,0.053455
2.685525,10,1,0.016152
2.941289,10,1,-0.08043
3.133113,10,1,-0.08773
0.055746,10,2,0.855992
0.092909,10,2,0.827914
0.130073,10,2,0.919732
0.167237,10,2,0.858754
0.222982,10,2,0.940483
0.278728,10,2,1.000001
0.371637,10,2,0.938302
0.464546,10,2,0.843137
0.557455,10,2,0.862514
0.650364,10,2,0.634864
0.743273,10,2,0.614396
0.836183,10,2,0.664744
0.929092,10,2,0.571871
1.11491,10,2,0.383523
1.300728,10,2,0.238003
1.486547,10,2,0.019776
1.672365,10,2,-0.0375
1.858183,10,2,-0.01079
2.044002,10,2,-0.12592
2.415638,10,2,-0.18167
2.787275,10,2,-0.23554
3.158912,10,2,-0.2084
3.530549,10,2,-0.21763
3.902185,10,2,-0.18147
4.273822,10,2,-0.15536
4.552549,10,2,-0.17063
0.02154,10,3,0.046411
0.0359,10,3,0.199689
0.05026,10,3,0.163205
0.06462,10,3,0.17496
0.08616,10,3,0.31383
0.1077,10,3,0.316845
0.1436,10,3,0.342245
0.1795,10,3,0.461661
0.2154,10,3,0.549035
0.2513,10,3,0.771681
0.2872,10,3,0.768854
0.323099,10,3,0.875861
0.358999,10,3,0.788721
0.430799,10,3,0.819325
0.502599,10,3,0.969153
0.574399,10,3,0.931928
0.646199,10,3,1.005685
0.717999,10,3,0.892691
0.789799,10,3,0.766304
0.933398,10,3,0.63595
1.076998,10,3,0.348947
1.220598,10,3,0.16937
1.364198,10,3,0.047444
1.507797,10,3,0.027793
1.651397,10,3,0.001461
1.759097,10,3,0.00126
0.023479,10,4,0.575965
0.039132,10,4,0.568714
0.054785,10,4,0.67597
0.070437,10,4,0.604186
0.093917,10,4,0.521822
0.117396,10,4,0.578426
0.156528,10,4,0.567617
0.195659,10,4,0.611801
0.234791,10,4,0.721371
0.273923,10,4,0.750888
0.313055,10,4,0.788583
0.352187,10,4,0.794566
0.391319,10,4,0.85646
0.469583,10,4,0.911139
0.547847,10,4,0.950588
0.62611,10,4,0.990842
0.704374,10,4,1
0.782638,10,4,0.971327
0.860902,10,4,0.966588
1.017429,10,4,0.697851
1.173957,10,4,0.50531
1.330485,10,4,0.384403
1.487012,10,4,0.346616
1.64354,10,4,0.277158
1.800067,10,4,0.196788
1.917463,10,4,0.16646
0.03606,12,1,0.596106
0.0601,12,1,0.644643
0.08414,12,1,0.625117
0.10818,12,1,0.655409
0.144239,12,1,0.67016
0.180299,12,1,0.6897
0.240399,12,1,0.776861
0.300499,12,1,0.823581
0.360599,12,1,0.873918
0.420698,12,1,0.898134
0.480798,12,1,0.928796
0.540898,12,1,0.972803
0.600998,12,1,1
0.721197,12,1,0.956521
0.841397,12,1,0.853122
0.961596,12,1,0.668045
1.081796,12,1,0.55609
1.201995,12,1,0.397285
1.322195,12,1,0.269652
1.562594,12,1,0.095555
1.802993,12,1,0.013782
2.043392,12,1,-0.04732
2.283791,12,1,-0.06539
2.52419,12,1,-0.09634
2.764589,12,1,-0.14397
2.944889,12,1,-0.14289
0.048599,12,2,0.788064
0.080998,12,2,0.852895
0.113397,12,2,0.830379
0.145796,12,2,0.990176
0.194395,12,2,0.948926
0.242994,12,2,0.933476
0.323992,12,2,0.998366
0.404989,12,2,0.94634
0.485987,12,2,0.999995
0.566985,12,2,0.908622
0.647983,12,2,0.792914
0.728981,12,2,0.850382
0.809979,12,2,0.829759
0.971975,12,2,0.548264
1.133971,12,2,0.269239
1.295966,12,2,0.314499
1.457962,12,2,0.227109
1.619958,12,2,0.049546
1.781954,12,2,-0.10159
2.105945,12,2,-0.20109
2.429937,12,2,-0.26383
2.753928,12,2,-0.20877
3.07792,12,2,-0.19141
3.401912,12,2,-0.15603
3.725903,12,2,-0.20372
3.968897,12,2,-0.20052
0.02088,12,3,0.151594
0.0348,12,3,0.080554
0.04872,12,3,0.05426
0.06264,12,3,0.17739
0.08352,12,3,0.144778
0.104399,12,3,0.300662
0.139199,12,3,0.249833
0.173999,12,3,0.351043
0.208799,12,3,0.489355
0.243599,12,3,0.370197
0.278398,12,3,0.611443
0.313198,12,3,0.612322
0.347998,12,3,0.593094
0.417598,12,3,0.834857
0.487197,12,3,0.597413
0.556797,12,3,1.004726
0.626396,12,3,0.777495
0.695996,12,3,0.869357
0.765596,12,3,0.955953
0.904795,12,3,0.605692
1.043994,12,3,0.454611
1.183193,12,3,0.195741
1.322392,12,3,0.077513
1.461591,12,3,0.062005
1.600791,12,3,0.020069
1.70519,12,3,0.007052
0.020675,12,4,0.590833
0.034458,12,4,0.55123
0.048242,12,4,0.580734
0.062025,12,4,0.547312
0.0827,12,4,0.591275
0.103375,12,4,0.519995
0.137833,12,4,0.575291
0.172291,12,4,0.671784
0.20675,12,4,0.702037
0.241208,12,4,0.737447
0.275666,12,4,0.729825
0.310125,12,4,0.763329
0.344583,12,4,0.808059
0.413499,12,4,0.852638
0.482416,12,4,0.935506
0.551333,12,4,0.967622
0.620249,12,4,0.946078
0.689166,12,4,0.975272
0.758082,12,4,1
0.895915,12,4,0.905806
1.033748,12,4,0.695237
1.171582,12,4,0.511007
1.309415,12,4,0.318633
1.447248,12,4,0.266241
1.585081,12,4,0.136877
1.688456,12,4,0.132688
