z/z2,Horizontal Distance ( Multiple of D),Run,RMS_wdefect
2.349759,8,3,0.055802
0.02643,8,4,0.469328
0.044051,8,4,0.545673
0.061671,8,4,0.484886
0.079291,8,4,0.615279
0.105721,8,4,0.592537
0.132152,8,4,0.705955
0.176202,8,4,0.784614
0.220253,8,4,0.812637
0.264303,8,4,0.814667
0.308354,8,4,0.819977
0.352404,8,4,1.000001
0.396455,8,4,0.961779
0.440505,8,4,0.992778
0.528606,8,4,0.907797
0.616707,8,4,0.929703
0.704809,8,4,0.807119
0.79291,8,4,0.868911
0.881011,8,4,0.825492
0.969112,8,4,0.764259
1.145314,8,4,0.539342
1.321516,8,4,0.394941
1.497718,8,4,0.284418
1.67392,8,4,0.255499
1.850122,8,4,0.153413
2.026325,8,4,0.086733
2.158476,8,4,0.076953
0.038365,10,1,0.614606
0.063941,10,1,0.714137
0.089518,10,1,0.732867
0.115094,10,1,0.807582
0.153459,10,1,0.880631
0.191823,10,1,0.90893
0.255764,10,1,0.940602
0.319705,10,1,0.981017
0.383646,10,1,0.984566
0.447588,10,1,1
0.511529,10,1,0.995335
0.57547,10,1,0.984625
0.639411,10,1,0.975386
0.767293,10,1,0.848981
0.895175,10,1,0.694352
1.023057,10,1,0.574633
1.150939,10,1,0.464782
1.278821,10,1,0.353391
1.406704,10,1,0.267091
1.662468,10,1,0.18164
1.918232,10,1,0.117365
2.173996,10,1,0.096226
2.429761,10,1,0.072194
2.685525,10,1,0.051832
2.941289,10,1,0.015458
3.133113,10,1,0.000645
0.040938,10,2,0.639037
0.06823,10,2,0.74352
0.095521,10,2,0.810761
0.122813,10,2,0.823623
0.163751,10,2,0.92796
0.204689,10,2,0.985707
0.272918,10,2,0.957404
0.341148,10,2,0.973971
0.409377,10,2,0.910227
0.477607,10,2,0.999976
0.545837,10,2,0.987543
0.614066,10,2,0.895149
0.682296,10,2,0.851567
0.818755,10,2,0.860912
0.955214,10,2,0.648807
1.091673,10,2,0.48573
1.228132,10,2,0.418664
